Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-300.0,-145.746528475629,1.24,0.76,0.08,x,a
1,-299.0,-151.023153040315,1.24,0.76,0.08,x,a
1,-296.5,-131.905147758295,1.24,0.76,0.08,x,a
1,-295.5,-132.00763724967,1.24,0.76,0.08,x,a
1,-293.5,-128.979290537054,1.24,0.76,0.08,x,a
1,-291.5,-130.38377705245,1.24,0.76,0.08,x,a
1,-291.0,-132.196266239922,1.24,0.76,0.08,x,a
1,-290.0,-134.247604749152,1.24,0.76,0.08,x,a
1,-289.5,-134.025716396747,1.24,0.76,0.08,x,a
1,-288.5,-130.671256849276,1.24,0.76,0.08,x,a
1,-284.5,-119.955349567861,1.24,0.76,0.08,x,a
1,-284.0,-122.381430224526,1.24,0.76,0.08,x,a
1,-283.5,-124.09459177591,1.24,0.76,0.08,x,a
1,-281.5,-125.840232526738,1.24,0.76,0.08,x,a
1,-281.0,-126.176628976778,1.24,0.76,0.08,x,a
1,-279.5,-118.525216868344,1.24,0.76,0.08,x,a
1,-277.0,-100.718723004804,1.24,0.76,0.08,x,a
1,-276.0,-99.9566736223693,1.24,0.76,0.08,x,a
1,-273.0,-116.848271706534,1.24,0.76,0.08,x,a
1,-272.5,-119.433730752786,1.24,0.76,0.08,x,a
1,-271.5,-115.307532447371,1.24,0.76,0.08,x,a
1,-270.0,-106.718120993081,1.24,0.76,0.08,x,a
1,-269.0,-102.023659243851,1.24,0.76,0.08,x,a
1,-268.5,-98.992965085638,1.24,0.76,0.08,x,a
1,-268.0,-96.5581462297616,1.24,0.76,0.08,x,a
1,-265.5,-116.514038705707,1.24,0.76,0.08,x,a
1,-265.0,-122.895038133561,1.24,0.76,0.08,x,a
1,-264.5,-127.919102392259,1.24,0.76,0.08,x,a
1,-263.5,-130.105832490539,1.24,0.76,0.08,x,a
1,-262.5,-115.67925046296,1.24,0.76,0.08,x,a
1,-260.5,-90.626955336249,1.24,0.76,0.08,x,a
1,-259.5,-91.618232403439,1.24,0.76,0.08,x,a
1,-257.5,-113.666757517638,1.24,0.76,0.08,x,a
1,-255.5,-101.978091614629,1.24,0.76,0.08,x,a
1,-254.5,-89.4897733928449,1.24,0.76,0.08,x,a
1,-253.0,-91.601453228264,1.24,0.76,0.08,x,a
1,-252.5,-95.6802258185035,1.24,0.76,0.08,x,a
1,-251.0,-108.502048000241,1.24,0.76,0.08,x,a
1,-250.5,-110.69575858279,1.24,0.76,0.08,x,a
1,-249.5,-111.206259102969,1.24,0.76,0.08,x,a
1,-249.0,-110.213989221834,1.24,0.76,0.08,x,a
1,-248.5,-108.518511628729,1.24,0.76,0.08,x,a
1,-248.0,-107.72108075626,1.24,0.76,0.08,x,a
1,-246.5,-107.490117030971,1.24,0.76,0.08,x,a
1,-245.5,-107.563120697272,1.24,0.76,0.08,x,a
1,-245.0,-105.576507268148,1.24,0.76,0.08,x,a
1,-244.5,-101.842978572499,1.24,0.76,0.08,x,a
1,-242.5,-92.3266201948973,1.24,0.76,0.08,x,a
1,-241.0,-83.171752025489,1.24,0.76,0.08,x,a
1,-240.0,-78.0336166242917,1.24,0.76,0.08,x,a
1,-238.5,-81.9480211331801,1.24,0.76,0.08,x,a
1,-238.0,-87.3788930555597,1.24,0.76,0.08,x,a
1,-237.5,-90.6966959371475,1.24,0.76,0.08,x,a
1,-237.0,-91.5523357021548,1.24,0.76,0.08,x,a
1,-236.5,-88.4496159831325,1.24,0.76,0.08,x,a
1,-236.0,-84.4620813129695,1.24,0.76,0.08,x,a
1,-235.5,-81.1439872915852,1.24,0.76,0.08,x,a
1,-235.0,-79.7441596108146,1.24,0.76,0.08,x,a
1,-234.0,-77.3308220575552,1.24,0.76,0.08,x,a
1,-233.0,-71.8719359659185,1.24,0.76,0.08,x,a
1,-230.5,-74.0764397885072,1.24,0.76,0.08,x,a
1,-230.0,-73.5346286573517,1.24,0.76,0.08,x,a
1,-229.5,-75.7336836208653,1.24,0.76,0.08,x,a
1,-228.5,-83.7292799541356,1.24,0.76,0.08,x,a
1,-228.0,-88.2421496907467,1.24,0.76,0.08,x,a
1,-225.0,-71.1871663691922,1.24,0.76,0.08,x,a
1,-224.5,-68.640815609277,1.24,0.76,0.08,x,a
1,-224.0,-68.8384611195438,1.24,0.76,0.08,x,a
1,-223.0,-77.8146641052046,1.24,0.76,0.08,x,a
1,-222.5,-82.6994487948844,1.24,0.76,0.08,x,a
1,-220.5,-93.991808032745,1.24,0.76,0.08,x,a
1,-220.0,-94.9043777208476,1.24,0.76,0.08,x,a
1,-219.0,-89.7294288992571,1.24,0.76,0.08,x,a
