Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-298.0,972.827355404233,1.61,0.39,0.05,x,a
1,-296.0,947.545529660072,1.61,0.39,0.05,x,a
1,-295.5,940.442722629148,1.61,0.39,0.05,x,a
1,-295.0,933.370738982545,1.61,0.39,0.05,x,a
1,-294.0,928.049374924793,1.61,0.39,0.05,x,a
1,-293.5,929.703819637283,1.61,0.39,0.05,x,a
1,-293.0,933.458359091686,1.61,0.39,0.05,x,a
1,-292.5,936.005417050037,1.61,0.39,0.05,x,a
1,-291.5,932.397456697146,1.61,0.39,0.05,x,a
1,-289.0,909.293022551265,1.61,0.39,0.05,x,a
1,-288.5,907.334607083152,1.61,0.39,0.05,x,a
1,-287.0,906.678326106452,1.61,0.39,0.05,x,a
1,-285.5,906.825066478904,1.61,0.39,0.05,x,a
1,-285.0,907.437562332948,1.61,0.39,0.05,x,a
1,-283.5,911.452209320904,1.61,0.39,0.05,x,a
1,-283.0,912.318382882653,1.61,0.39,0.05,x,a
1,-282.0,909.779572552261,1.61,0.39,0.05,x,a
1,-279.5,890.882253241302,1.61,0.39,0.05,x,a
1,-278.5,891.020192424065,1.61,0.39,0.05,x,a
1,-275.5,873.400518256739,1.61,0.39,0.05,x,a
1,-272.5,870.022918934226,1.61,0.39,0.05,x,a
1,-271.5,876.00155966211,1.61,0.39,0.05,x,a
1,-270.5,876.995163748214,1.61,0.39,0.05,x,a
1,-270.0,875.462296932525,1.61,0.39,0.05,x,a
1,-269.5,873.99654573023,1.61,0.39,0.05,x,a
1,-268.5,865.345609415459,1.61,0.39,0.05,x,a
1,-267.5,853.269687168398,1.61,0.39,0.05,x,a
1,-267.0,849.234879816889,1.61,0.39,0.05,x,a
1,-266.5,847.810046696676,1.61,0.39,0.05,x,a
1,-265.0,842.386958894595,1.61,0.39,0.05,x,a
1,-264.0,840.780886844849,1.61,0.39,0.05,x,a
1,-263.5,844.499211966837,1.61,0.39,0.05,x,a
1,-262.5,857.794289688361,1.61,0.39,0.05,x,a
1,-262.0,860.24227066745,1.61,0.39,0.05,x,a
1,-261.0,853.951015515918,1.61,0.39,0.05,x,a
1,-258.0,830.813945052807,1.61,0.39,0.05,x,a
1,-256.5,821.689187720807,1.61,0.39,0.05,x,a
1,-252.5,799.180829529559,1.61,0.39,0.05,x,a
1,-252.0,796.178804949638,1.61,0.39,0.05,x,a
1,-251.0,791.190144079878,1.61,0.39,0.05,x,a
1,-250.5,789.197359804456,1.61,0.39,0.05,x,a
1,-250.0,787.592315272821,1.61,0.39,0.05,x,a
1,-246.5,794.539901862341,1.61,0.39,0.05,x,a
1,-245.5,792.160373683732,1.61,0.39,0.05,x,a
1,-245.0,794.126375761276,1.61,0.39,0.05,x,a
1,-244.0,795.456927053572,1.61,0.39,0.05,x,a
1,-242.5,791.295779027806,1.61,0.39,0.05,x,a
1,-241.5,785.247401591653,1.61,0.39,0.05,x,a
1,-241.0,782.05398806962,1.61,0.39,0.05,x,a
1,-240.5,779.953858569653,1.61,0.39,0.05,x,a
1,-238.5,781.55485418375,1.61,0.39,0.05,x,a
1,-238.0,776.851757256635,1.61,0.39,0.05,x,a
1,-236.0,742.309003742743,1.61,0.39,0.05,x,a
1,-235.5,737.847841210276,1.61,0.39,0.05,x,a
1,-235.0,733.716453975489,1.61,0.39,0.05,x,a
1,-234.5,731.824730615214,1.61,0.39,0.05,x,a
1,-233.5,734.85434995527,1.61,0.39,0.05,x,a
1,-233.0,737.531094605015,1.61,0.39,0.05,x,a
1,-232.0,742.249300160877,1.61,0.39,0.05,x,a
1,-231.0,747.675615763109,1.61,0.39,0.05,x,a
1,-228.5,746.510945488195,1.61,0.39,0.05,x,a
1,-226.0,724.383428653071,1.61,0.39,0.05,x,a
1,-222.5,719.181592116397,1.61,0.39,0.05,x,a
1,-222.0,720.134122798711,1.61,0.39,0.05,x,a
1,-221.5,719.082601293815,1.61,0.39,0.05,x,a
1,-219.5,699.56308471247,1.61,0.39,0.05,x,a
1,-218.0,696.058947563209,1.61,0.39,0.05,x,a
1,-217.5,695.391849918932,1.61,0.39,0.05,x,a
1,-217.0,694.443402439812,1.61,0.39,0.05,x,a
1,-216.5,693.420137096075,1.61,0.39,0.05,x,a
1,-214.5,693.80489661388,1.61,0.39,0.05,x,a
1,-213.5,684.715227890118,1.61,0.39,0.05,x,a
1,-213.0,674.833675696948,1.61,0.39,0.05,x,a
1,-212.5,667.608771332777,1.61,0.39,0.05,x,a
1,-212.0,665.228166085357,1.61,0.39,0.05,x,a
1,-205.5,668.958413397129,1.61,0.39,0.05,x,a
1,-204.5,668.119983106135,1.61,0.39,0.05,x,a
1,-204.0,665.909602315741,1.61,0.39,0.05,x,a
1,-202.5,660.880191625378,1.61,0.39,0.05,x,a
1,-202.0,658.442666791759,1.61,0.39,0.05,x,a
1,-201.0,647.937863787562,1.61,0.39,0.05,x,a
1,-199.5,639.406926668218,1.61,0.39,0.05,x,a
1,-197.5,644.266202808195,1.61,0.39,0.05,x,a
1,-197.0,643.691098446841,1.61,0.39,0.05,x,a
1,-196.5,641.071314948837,1.61,0.39,0.05,x,a
1,-196.0,638.237808270201,1.61,0.39,0.05,x,a
1,-194.5,631.772478566266,1.61,0.39,0.05,x,a
1,-194.0,630.22939604723,1.61,0.39,0.05,x,a
1,-193.5,627.687184859073,1.61,0.39,0.05,x,a
1,-192.5,624.462836600948,1.61,0.39,0.05,x,a
1,-192.0,624.747675389364,1.61,0.39,0.05,x,a
1,-191.5,625.868535950167,1.61,0.39,0.05,x,a
1,-191.0,625.451359998775,1.61,0.39,0.05,x,a
1,-188.5,607.73435307605,1.61,0.39,0.05,x,a
1,-186.5,611.349276451616,1.61,0.39,0.05,x,a
1,-185.5,606.019523564104,1.61,0.39,0.05,x,a
1,-185.0,600.385271015817,1.61,0.39,0.05,x,a
1,-184.5,592.240580946428,1.61,0.39,0.05,x,a
1,-184.0,583.718089799663,1.61,0.39,0.05,x,a
1,-183.5,574.850950965117,1.61,0.39,0.05,x,a
1,-181.0,581.309477857325,1.61,0.39,0.05,x,a
1,-178.5,577.401424894982,1.61,0.39,0.05,x,a
1,-178.0,576.090312409022,1.61,0.39,0.05,x,a
1,-176.5,563.906360119317,1.61,0.39,0.05,x,a
1,-176.0,561.554383008682,1.61,0.39,0.05,x,a
1,-175.0,561.353584875254,1.61,0.39,0.05,x,a
1,-174.0,563.301987036467,1.61,0.39,0.05,x,a
1,-173.0,563.861372034455,1.61,0.39,0.05,x,a
1,-172.0,565.185814635375,1.61,0.39,0.05,x,a
1,-170.0,558.679708239022,1.61,0.39,0.05,x,a
1,-168.5,538.578238649999,1.61,0.39,0.05,x,a
1,-168.0,536.152725127061,1.61,0.39,0.05,x,a
1,-167.5,536.404284896369,1.61,0.39,0.05,x,a
1,-164.5,528.016295331875,1.61,0.39,0.05,x,a
1,-164.0,525.471468053632,1.61,0.39,0.05,x,a
1,-162.0,522.03087186198,1.61,0.39,0.05,x,a
1,-161.5,523.912418156548,1.61,0.39,0.05,x,a
1,-160.0,525.744345513469,1.61,0.39,0.05,x,a
1,-159.0,528.850065838388,1.61,0.39,0.05,x,a
1,-158.5,528.029672145557,1.61,0.39,0.05,x,a
1,-157.5,518.445703775122,1.61,0.39,0.05,x,a
1,-156.5,500.954683125005,1.61,0.39,0.05,x,a
1,-152.0,498.628576850297,1.61,0.39,0.05,x,a
1,-150.0,499.440121839801,1.61,0.39,0.05,x,a
1,-149.5,495.575004461699,1.61,0.39,0.05,x,a
1,-149.0,491.553339321052,1.61,0.39,0.05,x,a
1,-148.5,488.224151926862,1.61,0.39,0.05,x,a
1,-148.0,485.614752424343,1.61,0.39,0.05,x,a
1,-147.5,483.6855597401,1.61,0.39,0.05,x,a
1,-146.5,475.399945817049,1.61,0.39,0.05,x,a
1,-145.5,463.862167543877,1.61,0.39,0.05,x,a
1,-145.0,459.734712130672,1.61,0.39,0.05,x,a
1,-144.5,457.917142266402,1.61,0.39,0.05,x,a
1,-144.0,458.09848127394,1.61,0.39,0.05,x,a
1,-143.5,460.888645749192,1.61,0.39,0.05,x,a
1,-139.5,455.66023115125,1.61,0.39,0.05,x,a
1,-137.0,439.617687174382,1.61,0.39,0.05,x,a
1,-136.5,442.511050309315,1.61,0.39,0.05,x,a
1,-136.0,444.019825931275,1.61,0.39,0.05,x,a
1,-135.5,443.582987656106,1.61,0.39,0.05,x,a
1,-134.0,444.565468383968,1.61,0.39,0.05,x,a
1,-133.0,449.369220295827,1.61,0.39,0.05,x,a
1,-132.5,450.365092943606,1.61,0.39,0.05,x,a
1,-132.0,450.528771124148,1.61,0.39,0.05,x,a
1,-131.5,448.955220399092,1.61,0.39,0.05,x,a
1,-129.5,440.452527412939,1.61,0.39,0.05,x,a
1,-128.5,443.195547451338,1.61,0.39,0.05,x,a
1,-126.5,429.620965464992,1.61,0.39,0.05,x,a
1,-126.0,423.775360446066,1.61,0.39,0.05,x,a
1,-125.5,418.573254898144,1.61,0.39,0.05,x,a
1,-125.0,415.344036325546,1.61,0.39,0.05,x,a
1,-124.5,413.126195758599,1.61,0.39,0.05,x,a
1,-123.5,415.563563711226,1.61,0.39,0.05,x,a
1,-123.0,418.549026722761,1.61,0.39,0.05,x,a
1,-122.0,421.467053208988,1.61,0.39,0.05,x,a
1,-120.0,403.906630388552,1.61,0.39,0.05,x,a
1,-119.5,400.573378882283,1.61,0.39,0.05,x,a
1,-118.5,401.826298595894,1.61,0.39,0.05,x,a
1,-117.0,389.960400050196,1.61,0.39,0.05,x,a
1,-116.5,382.098624976586,1.61,0.39,0.05,x,a
1,-116.0,376.982455289614,1.61,0.39,0.05,x,a
1,-112.0,369.374234453992,1.61,0.39,0.05,x,a
1,-111.0,375.953919638334,1.61,0.39,0.05,x,a
1,-110.0,381.847762647427,1.61,0.39,0.05,x,a
1,-109.5,381.465668405767,1.61,0.39,0.05,x,a
1,-107.5,368.694138238865,1.61,0.39,0.05,x,a
1,-106.5,364.871540907085,1.61,0.39,0.05,x,a
1,-102.5,350.472600392792,1.61,0.39,0.05,x,a
1,-100.5,339.247306500882,1.61,0.39,0.05,x,a
1,-99.5,332.648540019877,1.61,0.39,0.05,x,a
1,-98.0,340.828671546227,1.61,0.39,0.05,x,a
1,-97.5,346.200763968194,1.61,0.39,0.05,x,a
1,-96.5,347.708714254505,1.61,0.39,0.05,x,a
1,-95.5,340.735367703423,1.61,0.39,0.05,x,a
1,-94.0,340.766682182237,1.61,0.39,0.05,x,a
1,-90.5,307.24543073628,1.61,0.39,0.05,x,a
1,-89.0,304.784566368228,1.61,0.39,0.05,x,a
1,-88.0,307.754405188954,1.61,0.39,0.05,x,a
