Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-297.5,524.892711275032,1.72,0.56,0.18,x,a
1,-297.0,521.293875329798,1.72,0.56,0.18,x,a
1,-296.0,503.090595189331,1.72,0.56,0.18,x,a
1,-295.5,500.015665040883,1.72,0.56,0.18,x,a
1,-295.0,502.770078457197,1.72,0.56,0.18,x,a
1,-294.0,510.707987974411,1.72,0.56,0.18,x,a
1,-292.0,496.232020205576,1.72,0.56,0.18,x,a
1,-291.5,492.55703927402,1.72,0.56,0.18,x,a
1,-290.5,498.823779275948,1.72,0.56,0.18,x,a
1,-287.0,495.781671151634,1.72,0.56,0.18,x,a
1,-285.5,497.886914731111,1.72,0.56,0.18,x,a
1,-285.0,491.418219003745,1.72,0.56,0.18,x,a
1,-284.5,483.583364769411,1.72,0.56,0.18,x,a
1,-282.5,474.030414872607,1.72,0.56,0.18,x,a
1,-282.0,477.101705869531,1.72,0.56,0.18,x,a
1,-280.0,487.065525571815,1.72,0.56,0.18,x,a
1,-279.5,485.235709705735,1.72,0.56,0.18,x,a
1,-276.5,475.831705111186,1.72,0.56,0.18,x,a
1,-276.0,479.669356740083,1.72,0.56,0.18,x,a
1,-274.0,460.393684088362,1.72,0.56,0.18,x,a
1,-272.5,456.046287679487,1.72,0.56,0.18,x,a
1,-272.0,460.763041841964,1.72,0.56,0.18,x,a
1,-271.5,462.866927856477,1.72,0.56,0.18,x,a
1,-270.5,469.948746241673,1.72,0.56,0.18,x,a
1,-264.5,465.269564373104,1.72,0.56,0.18,x,a
1,-263.5,452.43863108936,1.72,0.56,0.18,x,a
1,-262.5,457.39535321439,1.72,0.56,0.18,x,a
1,-261.5,460.891083343013,1.72,0.56,0.18,x,a
1,-259.5,450.192284197255,1.72,0.56,0.18,x,a
1,-259.0,440.767132956999,1.72,0.56,0.18,x,a
1,-258.5,428.142124307669,1.72,0.56,0.18,x,a
1,-257.5,415.205246060955,1.72,0.56,0.18,x,a
1,-255.5,438.091222647583,1.72,0.56,0.18,x,a
1,-254.0,424.47075493576,1.72,0.56,0.18,x,a
1,-253.0,421.755107259562,1.72,0.56,0.18,x,a
1,-252.0,421.315498657397,1.72,0.56,0.18,x,a
1,-251.0,427.076013192489,1.72,0.56,0.18,x,a
1,-250.5,431.674551144887,1.72,0.56,0.18,x,a
1,-250.0,434.523348294997,1.72,0.56,0.18,x,a
1,-249.0,431.929622752106,1.72,0.56,0.18,x,a
1,-246.5,417.981087618752,1.72,0.56,0.18,x,a
1,-245.0,417.228718099015,1.72,0.56,0.18,x,a
1,-244.5,415.292049556848,1.72,0.56,0.18,x,a
1,-243.5,411.354063193472,1.72,0.56,0.18,x,a
1,-242.5,404.676580592225,1.72,0.56,0.18,x,a
1,-241.5,394.774696356497,1.72,0.56,0.18,x,a
1,-241.0,392.282921409656,1.72,0.56,0.18,x,a
