Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-300.0,-655.49731628291,1.39,0.44,0.08,x,a
1,-298.0,-640.047223058967,1.39,0.44,0.08,x,a
1,-297.0,-631.118087726688,1.39,0.44,0.08,x,a
1,-296.0,-625.77037555633,1.39,0.44,0.08,x,a
1,-294.5,-618.554902166977,1.39,0.44,0.08,x,a
1,-294.0,-617.398441634186,1.39,0.44,0.08,x,a
1,-293.0,-616.665040297316,1.39,0.44,0.08,x,a
1,-292.5,-616.645750329472,1.39,0.44,0.08,x,a
1,-292.0,-616.367603058751,1.39,0.44,0.08,x,a
1,-291.0,-609.180754979356,1.39,0.44,0.08,x,a
1,-289.0,-601.417905861455,1.39,0.44,0.08,x,a
1,-288.0,-601.72234822534,1.39,0.44,0.08,x,a
1,-287.5,-604.711429255561,1.39,0.44,0.08,x,a
1,-283.0,-606.793490688943,1.39,0.44,0.08,x,a
1,-282.5,-601.833213778076,1.39,0.44,0.08,x,a
1,-280.0,-577.411005280083,1.39,0.44,0.08,x,a
1,-278.5,-593.863131005235,1.39,0.44,0.08,x,a
1,-278.0,-596.456622578429,1.39,0.44,0.08,x,a
1,-275.5,-589.730905524345,1.39,0.44,0.08,x,a
1,-275.0,-586.232166385045,1.39,0.44,0.08,x,a
1,-274.5,-582.840023726245,1.39,0.44,0.08,x,a
1,-274.0,-580.208340534894,1.39,0.44,0.08,x,a
1,-270.5,-567.548083678527,1.39,0.44,0.08,x,a
1,-268.5,-557.752823003063,1.39,0.44,0.08,x,a
1,-265.5,-551.842552371523,1.39,0.44,0.08,x,a
1,-265.0,-553.812518231711,1.39,0.44,0.08,x,a
1,-264.5,-557.864338609599,1.39,0.44,0.08,x,a
1,-262.0,-555.959555888015,1.39,0.44,0.08,x,a
1,-259.5,-555.259790377744,1.39,0.44,0.08,x,a
1,-259.0,-554.379276014987,1.39,0.44,0.08,x,a
1,-258.0,-546.652381325585,1.39,0.44,0.08,x,a
