Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-99.5,185.12394651682,1.51,0.86,0.17,1,1,x,a
-98.5,194.491345878361,1.51,0.86,0.17,1,1,x,a
-96.5,198.025089780526,1.51,0.86,0.17,1,1,x,a
-96.0,189.7342878266,1.51,0.86,0.17,1,1,x,a
-95.5,180.402229692254,1.51,0.86,0.17,1,1,x,a
-95.0,171.266228098772,1.51,0.86,0.17,1,1,x,a
-94.5,166.528256452205,1.51,0.86,0.17,1,1,x,a
-93.5,167.511911258133,1.51,0.86,0.17,1,1,x,a
-91.5,169.474965761917,1.51,0.86,0.17,1,1,x,a
-91.0,167.484811526215,1.51,0.86,0.17,1,1,x,a
-90.0,167.071854590357,1.51,0.86,0.17,1,1,x,a
-89.5,165.944904407799,1.51,0.86,0.17,1,1,x,a
-87.5,153.539204815548,1.51,0.86,0.17,1,1,x,a
-87.0,153.994504868026,1.51,0.86,0.17,1,1,x,a
-83.5,154.774942686277,1.51,0.86,0.17,1,1,x,a
-82.5,152.527860453795,1.51,0.86,0.17,1,1,x,a
-82.0,152.118578358549,1.51,0.86,0.17,1,1,x,a
-81.5,153.810062761262,1.51,0.86,0.17,1,1,x,a
-81.0,154.170138833104,1.51,0.86,0.17,1,1,x,a
-78.5,152.65314181815,1.51,0.86,0.17,1,1,x,a
-78.0,152.906581852899,1.51,0.86,0.17,1,1,x,a
-77.0,147.44548103047,1.51,0.86,0.17,1,1,x,a
-76.5,144.709732136369,1.51,0.86,0.17,1,1,x,a
-75.5,147.507607370312,1.51,0.86,0.17,1,1,x,a
-75.0,147.407986483924,1.51,0.86,0.17,1,1,x,a
-74.5,147.879131408806,1.51,0.86,0.17,1,1,x,a
-74.0,146.994322490876,1.51,0.86,0.17,1,1,x,a
-71.0,140.338024190722,1.51,0.86,0.17,1,1,x,a
-70.5,137.659056493424,1.51,0.86,0.17,1,1,x,a
-70.0,134.353619073094,1.51,0.86,0.17,1,1,x,a
-68.5,131.015567461272,1.51,0.86,0.17,1,1,x,a
-67.5,128.462823993992,1.51,0.86,0.17,1,1,x,a
-67.0,123.778318204556,1.51,0.86,0.17,1,1,x,a
-65.5,116.317363575387,1.51,0.86,0.17,1,1,x,a
-65.0,120.493303313921,1.51,0.86,0.17,1,1,x,a
-64.5,122.165876706008,1.51,0.86,0.17,1,1,x,a
-63.5,121.31189092077,1.51,0.86,0.17,1,1,x,a
-62.5,123.603740035037,1.51,0.86,0.17,1,1,x,a
-62.0,127.361434614465,1.51,0.86,0.17,1,1,x,a
-61.5,126.398932047816,1.51,0.86,0.17,1,1,x,a
-60.5,118.419207652909,1.51,0.86,0.17,1,1,x,a
-58.0,118.906926568427,1.51,0.86,0.17,1,1,x,a
-57.5,118.643494116735,1.51,0.86,0.17,1,1,x,a
-56.0,108.207044463115,1.51,0.86,0.17,1,1,x,a
-52.0,102.785847784057,1.51,0.86,0.17,1,1,x,a
-50.5,93.9383798567063,1.51,0.86,0.17,1,1,x,a
-50.0,92.5816242757454,1.51,0.86,0.17,1,1,x,a
-49.5,93.0094633630674,1.51,0.86,0.17,1,1,x,a
-49.0,92.9314477514479,1.51,0.86,0.17,1,1,x,a
-44.5,98.6488536785523,1.51,0.86,0.17,1,1,x,a
-44.0,98.584572135775,1.51,0.86,0.17,1,1,x,a
-42.5,87.6076171028656,1.51,0.86,0.17,1,1,x,a
-42.0,87.6869818750481,1.51,0.86,0.17,1,1,x,a
-40.5,83.1845299596334,1.51,0.86,0.17,1,1,x,a
-40.0,82.8434033914874,1.51,0.86,0.17,1,1,x,a
-39.5,82.0998393123765,1.51,0.86,0.17,1,1,x,a
-38.5,85.5457504829415,1.51,0.86,0.17,1,1,x,a
-38.0,86.9735003151088,1.51,0.86,0.17,1,1,x,a
-37.5,86.4644046420749,1.51,0.86,0.17,1,1,x,a
-36.5,82.1866965411596,1.51,0.86,0.17,1,1,x,a
-36.0,80.5579384082373,1.51,0.86,0.17,1,1,x,a
-35.0,77.2534249245198,1.51,0.86,0.17,1,1,x,a
-34.5,75.8371828111356,1.51,0.86,0.17,1,1,x,a
-34.0,70.9630859965434,1.51,0.86,0.17,1,1,x,a
-33.5,68.7488111005633,1.51,0.86,0.17,1,1,x,a
-33.0,67.9438116803786,1.51,0.86,0.17,1,1,x,a
-32.5,70.0600279875261,1.51,0.86,0.17,1,1,x,a
-30.5,78.6100155273637,1.51,0.86,0.17,1,1,x,a
-29.0,70.3540469985875,1.51,0.86,0.17,1,1,x,a
-28.5,63.8397113811954,1.51,0.86,0.17,1,1,x,a
-25.5,64.8692028267532,1.51,0.86,0.17,1,1,x,a
-25.0,67.045741629645,1.51,0.86,0.17,1,1,x,a
-23.5,66.1458136877225,1.51,0.86,0.17,1,1,x,a
-22.5,63.9778577939758,1.51,0.86,0.17,1,1,x,a
-22.0,63.5874873263495,1.51,0.86,0.17,1,1,x,a
-21.0,62.8144418264143,1.51,0.86,0.17,1,1,x,a
-20.5,60.6301707569725,1.51,0.86,0.17,1,1,x,a
-19.5,51.6901461268567,1.51,0.86,0.17,1,1,x,a
-19.0,50.8263251702953,1.51,0.86,0.17,1,1,x,a
-18.5,52.6762947071464,1.51,0.86,0.17,1,1,x,a
-17.5,58.0985435634576,1.51,0.86,0.17,1,1,x,a
-17.0,56.2303729057083,1.51,0.86,0.17,1,1,x,a
-16.5,52.0238909180901,1.51,0.86,0.17,1,1,x,a
-16.0,47.0972090139501,1.51,0.86,0.17,1,1,x,a
-14.0,35.6631196600239,1.51,0.86,0.17,1,1,x,a
-13.0,37.8379485265287,1.51,0.86,0.17,1,1,x,a
-12.0,41.839159667914,1.51,0.86,0.17,1,1,x,a
-10.0,42.304266334996,1.51,0.86,0.17,1,1,x,a
-9.5,38.7056318381727,1.51,0.86,0.17,1,1,x,a
-9.0,35.7249753677488,1.51,0.86,0.17,1,1,x,a
-8.5,32.185442507386,1.51,0.86,0.17,1,1,x,a
-7.5,32.1892029587812,1.51,0.86,0.17,1,1,x,a
-7.0,31.1593547043452,1.51,0.86,0.17,1,1,x,a
-4.0,18.9667130265505,1.51,0.86,0.17,1,1,x,a
-3.5,19.3010980872794,1.51,0.86,0.17,1,1,x,a
-3.0,19.4397292729676,1.51,0.86,0.17,1,1,x,a
-2.0,19.1353893276386,1.51,0.86,0.17,1,1,x,a
-1.5,18.6907387402353,1.51,0.86,0.17,1,1,x,a
0.5,27.7374714195288,1.51,0.86,0.17,1,1,x,a
1.0,28.9683925713834,1.51,0.86,0.17,1,1,x,a
2.0,26.9664950297975,1.51,0.86,0.17,1,1,x,a
2.5,25.5837006325638,1.51,0.86,0.17,1,1,x,a
4.5,17.8622568912594,1.51,0.86,0.17,1,1,x,a
5.0,13.1348130748421,1.51,0.86,0.17,1,1,x,a
5.5,10.709292134157,1.51,0.86,0.17,1,1,x,a
6.0,10.6935971502499,1.51,0.86,0.17,1,1,x,a
8.5,9.17784834812707,1.51,0.86,0.17,1,1,x,a
9.0,4.16267553920971,1.51,0.86,0.17,1,1,x,a
9.5,0.0596428608095265,1.51,0.86,0.17,1,1,x,a
10.0,-0.571101373632372,1.51,0.86,0.17,1,1,x,a
11.0,4.76953220083829,1.51,0.86,0.17,1,1,x,a
11.5,6.74430417674503,1.51,0.86,0.17,1,1,x,a
12.5,9.48867252051906,1.51,0.86,0.17,1,1,x,a
13.0,9.63450931667574,1.51,0.86,0.17,1,1,x,a
14.0,6.92692280786499,1.51,0.86,0.17,1,1,x,a
17.5,-14.4397999012373,1.51,0.86,0.17,1,1,x,a
19.0,-5.6236207782634,1.51,0.86,0.17,1,1,x,a
19.5,-3.29752519160687,1.51,0.86,0.17,1,1,x,a
20.0,-2.84935913092212,1.51,0.86,0.17,1,1,x,a
20.5,-3.35049026456587,1.51,0.86,0.17,1,1,x,a
22.0,-15.8791861126683,1.51,0.86,0.17,1,1,x,a
23.5,-25.7055922202555,1.51,0.86,0.17,1,1,x,a
24.5,-22.8796976435507,1.51,0.86,0.17,1,1,x,a
25.5,-19.9038129162826,1.51,0.86,0.17,1,1,x,a
26.5,-19.164235578239,1.51,0.86,0.17,1,1,x,a
27.0,-20.7841985478379,1.51,0.86,0.17,1,1,x,a
27.5,-23.021879206746,1.51,0.86,0.17,1,1,x,a
29.5,-48.2153633509001,1.51,0.86,0.17,1,1,x,a
