Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-99.5,273.081591680142,1.14,0.5,0.11,1,1,x,a
-97.0,299.771402499796,1.14,0.5,0.11,1,1,x,a
-96.0,295.565796772709,1.14,0.5,0.11,1,1,x,a
-95.5,285.80756812967,1.14,0.5,0.11,1,1,x,a
-95.0,273.531711040196,1.14,0.5,0.11,1,1,x,a
-94.5,262.89665267343,1.14,0.5,0.11,1,1,x,a
-94.0,254.642238588545,1.14,0.5,0.11,1,1,x,a
-93.5,249.014405794415,1.14,0.5,0.11,1,1,x,a
-92.5,243.139967848142,1.14,0.5,0.11,1,1,x,a
-92.0,241.933636183734,1.14,0.5,0.11,1,1,x,a
-91.5,242.449956517447,1.14,0.5,0.11,1,1,x,a
-91.0,244.093325034895,1.14,0.5,0.11,1,1,x,a
-90.0,241.643095248021,1.14,0.5,0.11,1,1,x,a
-89.5,236.52609911323,1.14,0.5,0.11,1,1,x,a
-88.5,232.879150921969,1.14,0.5,0.11,1,1,x,a
-88.0,237.025335510874,1.14,0.5,0.11,1,1,x,a
-87.5,243.950538371973,1.14,0.5,0.11,1,1,x,a
-87.0,252.44765825315,1.14,0.5,0.11,1,1,x,a
-86.0,263.588005535157,1.14,0.5,0.11,1,1,x,a
-85.5,266.146564617265,1.14,0.5,0.11,1,1,x,a
-84.0,252.888213605103,1.14,0.5,0.11,1,1,x,a
-82.5,224.882701723075,1.14,0.5,0.11,1,1,x,a
-82.0,219.483732976964,1.14,0.5,0.11,1,1,x,a
-81.0,216.330602080639,1.14,0.5,0.11,1,1,x,a
-80.0,212.137189578036,1.14,0.5,0.11,1,1,x,a
-78.5,205.50516129746,1.14,0.5,0.11,1,1,x,a
-77.5,203.500853803464,1.14,0.5,0.11,1,1,x,a
-76.5,200.792387210438,1.14,0.5,0.11,1,1,x,a
-75.5,193.767701941973,1.14,0.5,0.11,1,1,x,a
-75.0,190.498323845973,1.14,0.5,0.11,1,1,x,a
-74.5,189.801122805062,1.14,0.5,0.11,1,1,x,a
-73.5,188.633115431402,1.14,0.5,0.11,1,1,x,a
-73.0,188.751358096184,1.14,0.5,0.11,1,1,x,a
-72.5,189.377594563619,1.14,0.5,0.11,1,1,x,a
-71.0,193.361726710283,1.14,0.5,0.11,1,1,x,a
-69.0,186.623531850032,1.14,0.5,0.11,1,1,x,a
-68.5,183.606733783431,1.14,0.5,0.11,1,1,x,a
-67.0,182.045583212515,1.14,0.5,0.11,1,1,x,a
-66.0,182.970112778499,1.14,0.5,0.11,1,1,x,a
-64.5,176.188187871227,1.14,0.5,0.11,1,1,x,a
-64.0,176.27416009196,1.14,0.5,0.11,1,1,x,a
-63.0,179.088995320559,1.14,0.5,0.11,1,1,x,a
-62.5,180.526003355094,1.14,0.5,0.11,1,1,x,a
-58.5,168.349694547238,1.14,0.5,0.11,1,1,x,a
-58.0,158.6126379792,1.14,0.5,0.11,1,1,x,a
-57.5,150.994730802105,1.14,0.5,0.11,1,1,x,a
-55.5,136.737606353042,1.14,0.5,0.11,1,1,x,a
-55.0,134.462817022344,1.14,0.5,0.11,1,1,x,a
-54.0,131.242602810219,1.14,0.5,0.11,1,1,x,a
-52.5,129.343674062778,1.14,0.5,0.11,1,1,x,a
-52.0,129.95641051078,1.14,0.5,0.11,1,1,x,a
-51.5,132.129334185423,1.14,0.5,0.11,1,1,x,a
-50.5,136.003513752562,1.14,0.5,0.11,1,1,x,a
-49.5,131.867653622847,1.14,0.5,0.11,1,1,x,a
-48.0,124.406001293631,1.14,0.5,0.11,1,1,x,a
-46.0,130.232553820231,1.14,0.5,0.11,1,1,x,a
-45.5,130.953944834993,1.14,0.5,0.11,1,1,x,a
-45.0,129.695434358778,1.14,0.5,0.11,1,1,x,a
-43.5,117.262534499237,1.14,0.5,0.11,1,1,x,a
-43.0,114.268158556212,1.14,0.5,0.11,1,1,x,a
-42.5,112.759797731312,1.14,0.5,0.11,1,1,x,a
-42.0,114.600306217947,1.14,0.5,0.11,1,1,x,a
-41.5,121.424311516304,1.14,0.5,0.11,1,1,x,a
-41.0,126.726918952999,1.14,0.5,0.11,1,1,x,a
-40.5,129.309662469063,1.14,0.5,0.11,1,1,x,a
-40.0,126.269465448176,1.14,0.5,0.11,1,1,x,a
-39.5,121.927585932178,1.14,0.5,0.11,1,1,x,a
-39.0,117.421379932606,1.14,0.5,0.11,1,1,x,a
-37.5,106.366009044491,1.14,0.5,0.11,1,1,x,a
-37.0,101.493307469207,1.14,0.5,0.11,1,1,x,a
-36.0,92.6434386625086,1.14,0.5,0.11,1,1,x,a
-35.5,94.8376998450584,1.14,0.5,0.11,1,1,x,a
-34.5,107.039245294396,1.14,0.5,0.11,1,1,x,a
-33.5,110.97875820335,1.14,0.5,0.11,1,1,x,a
-33.0,107.649827859366,1.14,0.5,0.11,1,1,x,a
-32.0,97.117858747184,1.14,0.5,0.11,1,1,x,a
-31.0,92.6178165851413,1.14,0.5,0.11,1,1,x,a
-27.0,90.3540360554593,1.14,0.5,0.11,1,1,x,a
-26.0,86.7015254122423,1.14,0.5,0.11,1,1,x,a
-25.0,66.6377951848767,1.14,0.5,0.11,1,1,x,a
-22.0,46.2421237475964,1.14,0.5,0.11,1,1,x,a
-21.0,48.3413947351536,1.14,0.5,0.11,1,1,x,a
-20.5,48.9743837020624,1.14,0.5,0.11,1,1,x,a
-19.5,45.9224770137821,1.14,0.5,0.11,1,1,x,a
-19.0,40.0070937296767,1.14,0.5,0.11,1,1,x,a
-17.5,25.311228699543,1.14,0.5,0.11,1,1,x,a
-14.5,41.9750703708428,1.14,0.5,0.11,1,1,x,a
-14.0,41.1610580157355,1.14,0.5,0.11,1,1,x,a
-13.5,41.1411482579765,1.14,0.5,0.11,1,1,x,a
-13.0,41.9112448263137,1.14,0.5,0.11,1,1,x,a
-12.0,47.8269181157217,1.14,0.5,0.11,1,1,x,a
-11.0,45.7974928559929,1.14,0.5,0.11,1,1,x,a
-10.0,28.0378547938348,1.14,0.5,0.11,1,1,x,a
-8.5,4.16622251587566,1.14,0.5,0.11,1,1,x,a
-7.5,6.73936901576595,1.14,0.5,0.11,1,1,x,a
-6.5,16.3831542792872,1.14,0.5,0.11,1,1,x,a
-4.5,9.40129795826749,1.14,0.5,0.11,1,1,x,a
-4.0,5.43949257125,1.14,0.5,0.11,1,1,x,a
-3.5,1.37885357489417,1.14,0.5,0.11,1,1,x,a
0.5,-14.8683779437168,1.14,0.5,0.11,1,1,x,a
2.0,-10.5413985248323,1.14,0.5,0.11,1,1,x,a
2.5,-13.58161858206,1.14,0.5,0.11,1,1,x,a
3.0,-17.5753234930164,1.14,0.5,0.11,1,1,x,a
4.0,-27.5379329282115,1.14,0.5,0.11,1,1,x,a
6.0,-33.0476687349626,1.14,0.5,0.11,1,1,x,a
6.5,-30.820876270629,1.14,0.5,0.11,1,1,x,a
7.0,-29.7293620888484,1.14,0.5,0.11,1,1,x,a
7.5,-30.2264137801281,1.14,0.5,0.11,1,1,x,a
9.0,-29.5464131590408,1.14,0.5,0.11,1,1,x,a
10.5,-31.4179567749037,1.14,0.5,0.11,1,1,x,a
11.5,-45.1288732276607,1.14,0.5,0.11,1,1,x,a
12.5,-60.5462375688629,1.14,0.5,0.11,1,1,x,a
13.5,-70.573735917462,1.14,0.5,0.11,1,1,x,a
14.0,-72.6385220424251,1.14,0.5,0.11,1,1,x,a
15.5,-64.0678691923738,1.14,0.5,0.11,1,1,x,a
16.5,-56.0787064883961,1.14,0.5,0.11,1,1,x,a
17.5,-56.2268864527914,1.14,0.5,0.11,1,1,x,a
18.5,-54.4744987040863,1.14,0.5,0.11,1,1,x,a
19.0,-52.0524915590421,1.14,0.5,0.11,1,1,x,a
19.5,-49.3215648548552,1.14,0.5,0.11,1,1,x,a
20.0,-49.958340754503,1.14,0.5,0.11,1,1,x,a
20.5,-53.5612416651508,1.14,0.5,0.11,1,1,x,a
22.5,-72.370910158756,1.14,0.5,0.11,1,1,x,a
23.5,-78.5082180797408,1.14,0.5,0.11,1,1,x,a
25.5,-94.8771609840682,1.14,0.5,0.11,1,1,x,a
26.0,-96.6443556264869,1.14,0.5,0.11,1,1,x,a
