Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-100.0,-30.7675451116312,1.98,0.36,0.18,1,1,x,a
-98.5,-42.5110193195128,1.98,0.36,0.18,1,1,x,a
-98.0,-45.8603936236188,1.98,0.36,0.18,1,1,x,a
-97.5,-46.4815883218124,1.98,0.36,0.18,1,1,x,a
-96.5,-43.2095359903841,1.98,0.36,0.18,1,1,x,a
-96.0,-41.1789813354345,1.98,0.36,0.18,1,1,x,a
-92.0,-48.0050948807136,1.98,0.36,0.18,1,1,x,a
-91.5,-50.2524377668388,1.98,0.36,0.18,1,1,x,a
-89.5,-64.240708410166,1.98,0.36,0.18,1,1,x,a
-89.0,-62.1208892073715,1.98,0.36,0.18,1,1,x,a
-87.0,-55.8477857624923,1.98,0.36,0.18,1,1,x,a
-84.5,-60.3568936645632,1.98,0.36,0.18,1,1,x,a
-84.0,-66.1677456992965,1.98,0.36,0.18,1,1,x,a
-81.5,-45.8065490778111,1.98,0.36,0.18,1,1,x,a
-79.0,-32.0052335421357,1.98,0.36,0.18,1,1,x,a
-77.0,-36.4754235313622,1.98,0.36,0.18,1,1,x,a
-76.0,-42.6525635482068,1.98,0.36,0.18,1,1,x,a
-75.5,-41.3611050120096,1.98,0.36,0.18,1,1,x,a
-73.5,-19.6916186147592,1.98,0.36,0.18,1,1,x,a
-72.0,-23.8623976596853,1.98,0.36,0.18,1,1,x,a
-70.0,-61.7863013943718,1.98,0.36,0.18,1,1,x,a
-69.0,-65.5353959906094,1.98,0.36,0.18,1,1,x,a
-68.0,-59.7889385703743,1.98,0.36,0.18,1,1,x,a
-67.0,-66.3232373251481,1.98,0.36,0.18,1,1,x,a
-65.5,-62.0109902655319,1.98,0.36,0.18,1,1,x,a
-65.0,-53.6197763508809,1.98,0.36,0.18,1,1,x,a
-64.5,-48.2912041811588,1.98,0.36,0.18,1,1,x,a
-63.5,-42.8156646791282,1.98,0.36,0.18,1,1,x,a
-63.0,-40.9347906272495,1.98,0.36,0.18,1,1,x,a
-62.0,-30.0330757651896,1.98,0.36,0.18,1,1,x,a
-60.5,-29.5952740674975,1.98,0.36,0.18,1,1,x,a
-60.0,-34.3363901698144,1.98,0.36,0.18,1,1,x,a
-59.5,-35.9700827791951,1.98,0.36,0.18,1,1,x,a
-55.5,-56.0429501948123,1.98,0.36,0.18,1,1,x,a
-53.5,-33.744244599993,1.98,0.36,0.18,1,1,x,a
-52.5,-25.2881679146879,1.98,0.36,0.18,1,1,x,a
-51.5,-33.8579732496975,1.98,0.36,0.18,1,1,x,a
-50.5,-31.7496947939339,1.98,0.36,0.18,1,1,x,a
-48.5,-35.1178990906851,1.98,0.36,0.18,1,1,x,a
-48.0,-40.3340920625937,1.98,0.36,0.18,1,1,x,a
-47.0,-40.6514130842698,1.98,0.36,0.18,1,1,x,a
-46.5,-38.3031509476497,1.98,0.36,0.18,1,1,x,a
-46.0,-37.6340613544162,1.98,0.36,0.18,1,1,x,a
-45.5,-41.6509840702779,1.98,0.36,0.18,1,1,x,a
-44.5,-43.9423868145806,1.98,0.36,0.18,1,1,x,a
-42.5,-27.1842870283749,1.98,0.36,0.18,1,1,x,a
-42.0,-26.2914024095168,1.98,0.36,0.18,1,1,x,a
-39.5,-23.4707842653908,1.98,0.36,0.18,1,1,x,a
-39.0,-20.1569606432184,1.98,0.36,0.18,1,1,x,a
-38.5,-15.3097525351278,1.98,0.36,0.18,1,1,x,a
-36.5,-13.4023868298796,1.98,0.36,0.18,1,1,x,a
-35.5,-22.42163200883,1.98,0.36,0.18,1,1,x,a
-33.5,-26.3120371085409,1.98,0.36,0.18,1,1,x,a
-32.5,-16.5154042040097,1.98,0.36,0.18,1,1,x,a
-25.5,-34.3862839866591,1.98,0.36,0.18,1,1,x,a
-23.5,-38.8318815546499,1.98,0.36,0.18,1,1,x,a
-23.0,-40.5134847116334,1.98,0.36,0.18,1,1,x,a
-19.5,-28.6384892706235,1.98,0.36,0.18,1,1,x,a
-19.0,-23.2226866684311,1.98,0.36,0.18,1,1,x,a
-18.5,-19.6620616994565,1.98,0.36,0.18,1,1,x,a
-18.0,-18.3360733641636,1.98,0.36,0.18,1,1,x,a
-16.0,-16.5695615100684,1.98,0.36,0.18,1,1,x,a
-15.0,-15.8971529261797,1.98,0.36,0.18,1,1,x,a
-14.0,-10.9926434925295,1.98,0.36,0.18,1,1,x,a
-12.5,-12.5744494748015,1.98,0.36,0.18,1,1,x,a
-12.0,-20.1577467612344,1.98,0.36,0.18,1,1,x,a
-11.0,-31.4732358646328,1.98,0.36,0.18,1,1,x,a
-10.0,-21.3516631006515,1.98,0.36,0.18,1,1,x,a
-7.5,-8.26754728350772,1.98,0.36,0.18,1,1,x,a
-5.0,-21.4666955539409,1.98,0.36,0.18,1,1,x,a
-3.5,-11.6359845263366,1.98,0.36,0.18,1,1,x,a
-3.0,-7.96622729099577,1.98,0.36,0.18,1,1,x,a
-2.5,-6.03482058661876,1.98,0.36,0.18,1,1,x,a
-1.0,-2.26154680984553,1.98,0.36,0.18,1,1,x,a
