Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-98.0,-496.936044455042,1.07,0.27,0.1,1,1,x,a
-97.5,-492.096436778995,1.07,0.27,0.1,1,1,x,a
-94.0,-470.207872883463,1.07,0.27,0.1,1,1,x,a
-93.0,-470.371780843648,1.07,0.27,0.1,1,1,x,a
-92.0,-470.741381372754,1.07,0.27,0.1,1,1,x,a
-91.0,-465.915370276812,1.07,0.27,0.1,1,1,x,a
-89.5,-448.06153360424,1.07,0.27,0.1,1,1,x,a
-89.0,-441.050805760238,1.07,0.27,0.1,1,1,x,a
-88.5,-437.571525170095,1.07,0.27,0.1,1,1,x,a
-86.5,-442.048963759001,1.07,0.27,0.1,1,1,x,a
-85.0,-442.449308308477,1.07,0.27,0.1,1,1,x,a
-84.5,-440.560738072303,1.07,0.27,0.1,1,1,x,a
-83.5,-432.4488915721,1.07,0.27,0.1,1,1,x,a
-81.0,-410.112409488419,1.07,0.27,0.1,1,1,x,a
-80.0,-407.683574233626,1.07,0.27,0.1,1,1,x,a
-79.5,-405.817157919719,1.07,0.27,0.1,1,1,x,a
-79.0,-401.661634935811,1.07,0.27,0.1,1,1,x,a
-77.0,-383.086953997579,1.07,0.27,0.1,1,1,x,a
-75.5,-382.092215872305,1.07,0.27,0.1,1,1,x,a
-74.0,-379.272559384783,1.07,0.27,0.1,1,1,x,a
-73.5,-383.851095433736,1.07,0.27,0.1,1,1,x,a
-71.5,-374.525293799992,1.07,0.27,0.1,1,1,x,a
-70.5,-358.927154474025,1.07,0.27,0.1,1,1,x,a
-68.5,-346.4662271203,1.07,0.27,0.1,1,1,x,a
-66.5,-342.257760954595,1.07,0.27,0.1,1,1,x,a
-65.0,-351.772975906069,1.07,0.27,0.1,1,1,x,a
-62.5,-334.845538720022,1.07,0.27,0.1,1,1,x,a
-58.5,-316.90756536571,1.07,0.27,0.1,1,1,x,a
-57.5,-308.590201729358,1.07,0.27,0.1,1,1,x,a
-56.5,-290.616694413246,1.07,0.27,0.1,1,1,x,a
-54.0,-286.708716856426,1.07,0.27,0.1,1,1,x,a
-51.0,-274.541027830859,1.07,0.27,0.1,1,1,x,a
-49.0,-269.346560990648,1.07,0.27,0.1,1,1,x,a
-46.5,-256.719854653424,1.07,0.27,0.1,1,1,x,a
-46.0,-256.409406932958,1.07,0.27,0.1,1,1,x,a
-45.0,-254.288950275346,1.07,0.27,0.1,1,1,x,a
-44.0,-242.396003701146,1.07,0.27,0.1,1,1,x,a
-43.5,-233.824525644628,1.07,0.27,0.1,1,1,x,a
-41.0,-230.924666012584,1.07,0.27,0.1,1,1,x,a
-39.5,-225.748791195206,1.07,0.27,0.1,1,1,x,a
-39.0,-222.19210280887,1.07,0.27,0.1,1,1,x,a
-38.0,-212.077364889392,1.07,0.27,0.1,1,1,x,a
-36.5,-205.56737646322,1.07,0.27,0.1,1,1,x,a
-36.0,-204.307924544988,1.07,0.27,0.1,1,1,x,a
-34.5,-203.075021438983,1.07,0.27,0.1,1,1,x,a
-34.0,-201.536457817682,1.07,0.27,0.1,1,1,x,a
-31.5,-191.811885465431,1.07,0.27,0.1,1,1,x,a
-30.5,-194.478808519237,1.07,0.27,0.1,1,1,x,a
-28.0,-158.455478548984,1.07,0.27,0.1,1,1,x,a
-27.5,-154.84625387607,1.07,0.27,0.1,1,1,x,a
-27.0,-156.484833851858,1.07,0.27,0.1,1,1,x,a
-26.0,-160.392597235106,1.07,0.27,0.1,1,1,x,a
-25.0,-149.630552902271,1.07,0.27,0.1,1,1,x,a
-24.5,-141.662734946546,1.07,0.27,0.1,1,1,x,a
-23.0,-128.885943751577,1.07,0.27,0.1,1,1,x,a
-21.5,-128.708937425002,1.07,0.27,0.1,1,1,x,a
-21.0,-125.010702732546,1.07,0.27,0.1,1,1,x,a
-20.5,-120.125441554956,1.07,0.27,0.1,1,1,x,a
-20.0,-116.840933859986,1.07,0.27,0.1,1,1,x,a
-19.5,-116.37171851991,1.07,0.27,0.1,1,1,x,a
-19.0,-118.093146556267,1.07,0.27,0.1,1,1,x,a
-17.5,-121.018813239581,1.07,0.27,0.1,1,1,x,a
-16.0,-112.882198228694,1.07,0.27,0.1,1,1,x,a
-15.5,-110.969381570352,1.07,0.27,0.1,1,1,x,a
-14.0,-102.738608182802,1.07,0.27,0.1,1,1,x,a
-13.5,-101.22168958798,1.07,0.27,0.1,1,1,x,a
-13.0,-98.7236720703077,1.07,0.27,0.1,1,1,x,a
-12.5,-97.3420930027855,1.07,0.27,0.1,1,1,x,a
-11.5,-95.1501348023467,1.07,0.27,0.1,1,1,x,a
-11.0,-91.6578100439897,1.07,0.27,0.1,1,1,x,a
-8.0,-66.9215756379289,1.07,0.27,0.1,1,1,x,a
-7.0,-54.7251334006911,1.07,0.27,0.1,1,1,x,a
-6.0,-48.9953432734241,1.07,0.27,0.1,1,1,x,a
-3.0,-49.7216359437918,1.07,0.27,0.1,1,1,x,a
-1.0,-37.2385831860555,1.07,0.27,0.1,1,1,x,a
-0.5,-35.869544783636,1.07,0.27,0.1,1,1,x,a
0.0,-33.5859986544006,1.07,0.27,0.1,1,1,x,a
1.5,-23.3610885236611,1.07,0.27,0.1,1,1,x,a
2.0,-21.3055360414821,1.07,0.27,0.1,1,1,x,a
3.5,-13.554773203007,1.07,0.27,0.1,1,1,x,a
4.0,-9.31936090790231,1.07,0.27,0.1,1,1,x,a
5.5,-2.09571388016328,1.07,0.27,0.1,1,1,x,a
7.0,1.49104857645357,1.07,0.27,0.1,1,1,x,a
8.0,5.9213956567507,1.07,0.27,0.1,1,1,x,a
9.0,8.56278225232295,1.07,0.27,0.1,1,1,x,a
9.5,10.7908874845244,1.07,0.27,0.1,1,1,x,a
12.5,52.3157133104792,1.07,0.27,0.1,1,1,x,a
13.5,61.4209648431108,1.07,0.27,0.1,1,1,x,a
15.0,49.7037729481551,1.07,0.27,0.1,1,1,x,a
15.5,44.3804361016629,1.07,0.27,0.1,1,1,x,a
16.0,42.8377270353493,1.07,0.27,0.1,1,1,x,a
17.0,48.4341637525554,1.07,0.27,0.1,1,1,x,a
18.5,49.8433359473561,1.07,0.27,0.1,1,1,x,a
19.0,50.9955935622665,1.07,0.27,0.1,1,1,x,a
20.0,54.2180372645797,1.07,0.27,0.1,1,1,x,a
20.5,57.6661531281325,1.07,0.27,0.1,1,1,x,a
21.5,71.2792456828228,1.07,0.27,0.1,1,1,x,a
23.5,84.9775920872078,1.07,0.27,0.1,1,1,x,a
24.5,86.827968210819,1.07,0.27,0.1,1,1,x,a
26.5,92.190265808145,1.07,0.27,0.1,1,1,x,a
27.0,90.1534899177197,1.07,0.27,0.1,1,1,x,a
28.5,95.025187405354,1.07,0.27,0.1,1,1,x,a
29.0,101.370022730208,1.07,0.27,0.1,1,1,x,a
31.5,118.258919953534,1.07,0.27,0.1,1,1,x,a
34.0,138.830647862602,1.07,0.27,0.1,1,1,x,a
34.5,138.371121279372,1.07,0.27,0.1,1,1,x,a
35.0,137.838734724503,1.07,0.27,0.1,1,1,x,a
37.5,161.150555507725,1.07,0.27,0.1,1,1,x,a
41.0,165.452300964415,1.07,0.27,0.1,1,1,x,a
42.5,166.257298257752,1.07,0.27,0.1,1,1,x,a
43.5,159.323231421066,1.07,0.27,0.1,1,1,x,a
46.5,174.419708341487,1.07,0.27,0.1,1,1,x,a
47.5,190.723817610038,1.07,0.27,0.1,1,1,x,a
48.5,194.693318290978,1.07,0.27,0.1,1,1,x,a
49.0,196.601353825543,1.07,0.27,0.1,1,1,x,a
52.5,222.45649360499,1.07,0.27,0.1,1,1,x,a
57.0,236.085723542452,1.07,0.27,0.1,1,1,x,a
59.5,249.859928882159,1.07,0.27,0.1,1,1,x,a
60.5,254.770947959766,1.07,0.27,0.1,1,1,x,a
61.0,256.857618861863,1.07,0.27,0.1,1,1,x,a
62.0,264.337353761806,1.07,0.27,0.1,1,1,x,a
62.5,265.845984481679,1.07,0.27,0.1,1,1,x,a
63.0,266.624574858885,1.07,0.27,0.1,1,1,x,a
64.5,273.249273700337,1.07,0.27,0.1,1,1,x,a
65.0,277.456247213144,1.07,0.27,0.1,1,1,x,a
65.5,277.868260233916,1.07,0.27,0.1,1,1,x,a
66.5,272.064103988269,1.07,0.27,0.1,1,1,x,a
68.0,279.155748250749,1.07,0.27,0.1,1,1,x,a
69.0,285.509269045911,1.07,0.27,0.1,1,1,x,a
70.0,286.073257212969,1.07,0.27,0.1,1,1,x,a
70.5,288.90880125364,1.07,0.27,0.1,1,1,x,a
71.5,300.121391728689,1.07,0.27,0.1,1,1,x,a
72.5,309.17901761281,1.07,0.27,0.1,1,1,x,a
73.0,311.518818814305,1.07,0.27,0.1,1,1,x,a
76.0,320.29916672799,1.07,0.27,0.1,1,1,x,a
78.5,339.980166925121,1.07,0.27,0.1,1,1,x,a
79.5,344.771078636666,1.07,0.27,0.1,1,1,x,a
82.0,351.552339999686,1.07,0.27,0.1,1,1,x,a
82.5,356.135866405481,1.07,0.27,0.1,1,1,x,a
86.0,362.360843943196,1.07,0.27,0.1,1,1,x,a
86.5,370.588387720049,1.07,0.27,0.1,1,1,x,a
87.0,376.553496452755,1.07,0.27,0.1,1,1,x,a
88.0,385.363401069609,1.07,0.27,0.1,1,1,x,a
90.5,397.217646402554,1.07,0.27,0.1,1,1,x,a
92.5,410.628288691354,1.07,0.27,0.1,1,1,x,a
93.5,423.343558488172,1.07,0.27,0.1,1,1,x,a
97.5,426.373815932686,1.07,0.27,0.1,1,1,x,a
98.5,428.980909329226,1.07,0.27,0.1,1,1,x,a
99.0,430.70959818642,1.07,0.27,0.1,1,1,x,a
99.5,432.387318425333,1.07,0.27,0.1,1,1,x,a
-98.0,-496.477800327289,1.07,0.27,0.1,2,1,x,a
-97.5,-493.355192115358,1.07,0.27,0.1,2,1,x,a
-94.0,-466.225026085273,1.07,0.27,0.1,2,1,x,a
-93.0,-467.754897052,1.07,0.27,0.1,2,1,x,a
-92.0,-470.293351663865,1.07,0.27,0.1,2,1,x,a
-91.0,-463.769253689281,1.07,0.27,0.1,2,1,x,a
