Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-10.0,1.68031772370747,1.92,0.22,0.14,x,a
1,-9.5,1.94644145593964,1.92,0.22,0.14,x,a
1,-8.5,-7.12480953300252,1.92,0.22,0.14,x,a
1,-7.0,4.27052973792657,1.92,0.22,0.14,x,a
1,-6.0,12.9838204936233,1.92,0.22,0.14,x,a
1,-4.5,14.9586643783948,1.92,0.22,0.14,x,a
1,-4.0,17.5435175195075,1.92,0.22,0.14,x,a
1,-3.5,17.9375233462432,1.92,0.22,0.14,x,a
1,-3.0,15.2666364349944,1.92,0.22,0.14,x,a
1,-2.5,13.3560021995204,1.92,0.22,0.14,x,a
1,-2.0,14.8114201672336,1.92,0.22,0.14,x,a
1,-1.5,16.7425119279093,1.92,0.22,0.14,x,a
1,-1.0,18.2250123356841,1.92,0.22,0.14,x,a
1,0.0,19.8704893995526,1.92,0.22,0.14,x,a
1,2.0,49.7767773351457,1.92,0.22,0.14,x,a
1,5.0,49.6427720985532,1.92,0.22,0.14,x,a
1,6.0,55.3995312582747,1.92,0.22,0.14,x,a
1,7.0,57.1582328361936,1.92,0.22,0.14,x,a
1,8.0,58.8108116650207,1.92,0.22,0.14,x,a
1,8.5,61.3865979968594,1.92,0.22,0.14,x,a
2,-10.0,3.34819466472262,1.47,0.71,0.14,x,a
2,-9.5,3.07286210999012,1.47,0.71,0.14,x,a
2,-8.0,-4.45826575989986,1.47,0.71,0.14,x,a
2,-7.0,7.72632101983642,1.47,0.71,0.14,x,a
2,-6.5,12.8115303144707,1.47,0.71,0.14,x,a
2,-6.0,13.8045560853891,1.47,0.71,0.14,x,a
2,-5.0,12.7529176914784,1.47,0.71,0.14,x,a
2,-4.5,14.0279578987445,1.47,0.71,0.14,x,a
2,-4.0,15.3535493268121,1.47,0.71,0.14,x,a
2,-3.0,13.0340668422108,1.47,0.71,0.14,x,a
2,-2.0,13.6196273663029,1.47,0.71,0.14,x,a
2,-1.5,15.6058208077132,1.47,0.71,0.14,x,a
2,-0.5,13.3203355152752,1.47,0.71,0.14,x,a
2,0.5,20.5054103956017,1.47,0.71,0.14,x,a
2,1.5,40.1561229977899,1.47,0.71,0.14,x,a
2,4.0,43.6538200796076,1.47,0.71,0.14,x,a
2,4.5,41.950903851109,1.47,0.71,0.14,x,a
2,5.5,46.2462771827769,1.47,0.71,0.14,x,a
2,6.5,53.326417264649,1.47,0.71,0.14,x,a
2,8.5,60.6103259310914,1.47,0.71,0.14,x,a
3,-8.5,-4.42766928936055,1.89,0.84,0.03,x,a
3,-8.0,-4.05484986116553,1.89,0.84,0.03,x,a
3,-7.0,7.43551406051102,1.89,0.84,0.03,x,a
3,-6.5,12.8066091776145,1.89,0.84,0.03,x,a
3,-6.0,14.7969772924586,1.89,0.84,0.03,x,a
3,-5.5,13.826352442496,1.89,0.84,0.03,x,a
3,-5.0,14.5704022915068,1.89,0.84,0.03,x,a
3,-4.5,16.311969569366,1.89,0.84,0.03,x,a
3,-4.0,17.8805030824018,1.89,0.84,0.03,x,a
3,-3.0,14.9235144095262,1.89,0.84,0.03,x,a
3,-2.5,13.5007490755169,1.89,0.84,0.03,x,a
3,-1.5,13.8547247079007,1.89,0.84,0.03,x,a
3,2.0,49.2909175726266,1.89,0.84,0.03,x,a
3,2.5,50.6979110264473,1.89,0.84,0.03,x,a
3,3.5,48.5792198529456,1.89,0.84,0.03,x,a
3,4.0,46.3457825832666,1.89,0.84,0.03,x,a
3,5.0,46.9519402392684,1.89,0.84,0.03,x,a
3,5.5,50.9031586090272,1.89,0.84,0.03,x,a
3,6.5,57.7469901483982,1.89,0.84,0.03,x,a
3,10.0,66.714690303507,1.89,0.84,0.03,x,a
4,-9.5,3.96756202250135,1.78,0.22,0.09,x,a
4,-9.0,-0.761204567671528,1.78,0.22,0.09,x,a
4,-7.5,0.425700837467538,1.78,0.22,0.09,x,a
4,-6.5,10.787584736759,1.78,0.22,0.09,x,a
4,-5.5,11.6670740026704,1.78,0.22,0.09,x,a
4,-4.0,15.0572157507757,1.78,0.22,0.09,x,a
4,-3.5,13.3400283376975,1.78,0.22,0.09,x,a
4,-3.0,11.2555323798205,1.78,0.22,0.09,x,a
4,-2.0,14.8984555039878,1.78,0.22,0.09,x,a
4,-1.5,16.9775133120232,1.78,0.22,0.09,x,a
4,-0.5,14.2144522783236,1.78,0.22,0.09,x,a
4,0.0,14.5674923013969,1.78,0.22,0.09,x,a
4,1.5,45.379849765003,1.78,0.22,0.09,x,a
4,2.0,52.8235851577908,1.78,0.22,0.09,x,a
4,3.5,50.0165069088371,1.78,0.22,0.09,x,a
4,4.0,46.8742307696867,1.78,0.22,0.09,x,a
4,5.0,48.4064044952404,1.78,0.22,0.09,x,a
4,6.5,59.4573713756692,1.78,0.22,0.09,x,a
4,7.5,58.0974446134982,1.78,0.22,0.09,x,a
4,10.0,66.343669000663,1.78,0.22,0.09,x,a
5,-9.5,0.158122438511522,1.19,0.25,0.2,x,a
5,-9.0,-2.22710335008843,1.19,0.25,0.2,x,a
5,-8.5,-4.67185048855685,1.19,0.25,0.2,x,a
