Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-9.0,8.00787105521949,1.54,0.47,0.01,x,a
1,-8.5,8.23520363867388,1.54,0.47,0.01,x,a
1,-7.5,6.64605761476331,1.54,0.47,0.01,x,a
1,-6.0,6.9727459397737,1.54,0.47,0.01,x,a
1,-5.0,9.31016544619435,1.54,0.47,0.01,x,a
1,-4.5,11.8623403376234,1.54,0.47,0.01,x,a
1,-4.0,16.6692087104469,1.54,0.47,0.01,x,a
1,-3.0,22.5674184897923,1.54,0.47,0.01,x,a
1,-2.0,19.1494077496926,1.54,0.47,0.01,x,a
1,-1.5,16.7340392213427,1.54,0.47,0.01,x,a
1,0.0,4.14438900266843,1.54,0.47,0.01,x,a
1,1.0,-2.55893894188941,1.54,0.47,0.01,x,a
1,1.5,-0.428299757084349,1.54,0.47,0.01,x,a
1,3.5,20.9746578173399,1.54,0.47,0.01,x,a
1,5.0,31.4163863554758,1.54,0.47,0.01,x,a
1,5.5,35.4101976958479,1.54,0.47,0.01,x,a
1,7.0,19.7975714465111,1.54,0.47,0.01,x,a
1,7.5,15.2001825926098,1.54,0.47,0.01,x,a
1,9.5,9.9527534083324,1.54,0.47,0.01,x,a
1,10.0,3.52559268499078,1.54,0.47,0.01,x,a
2,-8.5,6.01670150979407,1.54,0.47,0.01,x,a
2,-7.0,5.64617421138233,1.54,0.47,0.01,x,a
2,-6.5,4.87168945419849,1.54,0.47,0.01,x,a
2,-6.0,5.09206619436484,1.54,0.47,0.01,x,a
2,-4.5,12.2450485586517,1.54,0.47,0.01,x,a
2,-4.0,16.9652753833192,1.54,0.47,0.01,x,a
2,-3.0,21.9957341804994,1.54,0.47,0.01,x,a
2,-1.5,10.4024611454927,1.54,0.47,0.01,x,a
2,-0.5,4.57610565917085,1.54,0.47,0.01,x,a
2,1.5,2.8436827536573,1.54,0.47,0.01,x,a
2,2.0,9.5768735669415,1.54,0.47,0.01,x,a
2,2.5,17.5468466084755,1.54,0.47,0.01,x,a
2,3.0,22.3613157084259,1.54,0.47,0.01,x,a
2,4.0,22.0489641235372,1.54,0.47,0.01,x,a
2,6.0,30.3742192047576,1.54,0.47,0.01,x,a
2,7.0,18.542462541408,1.54,0.47,0.01,x,a
2,8.0,14.3464162687811,1.54,0.47,0.01,x,a
2,8.5,13.7206130063899,1.54,0.47,0.01,x,a
2,9.0,10.8349829617142,1.54,0.47,0.01,x,a
2,10.0,-5.27132175579537,1.54,0.47,0.01,x,a
3,-9.5,6.70772540003633,1.54,0.47,0.01,x,a
3,-9.0,6.84712431590297,1.54,0.47,0.01,x,a
3,-8.5,8.05592530696317,1.54,0.47,0.01,x,a
3,-7.5,8.9789171877369,1.54,0.47,0.01,x,a
3,-6.5,5.40954345108624,1.54,0.47,0.01,x,a
3,-6.0,3.7641896268863,1.54,0.47,0.01,x,a
3,-5.5,3.6292215602051,1.54,0.47,0.01,x,a
3,-5.0,4.811564875192,1.54,0.47,0.01,x,a
3,-4.5,8.42403820490103,1.54,0.47,0.01,x,a
3,-4.0,13.5721865106769,1.54,0.47,0.01,x,a
3,-1.0,10.5529204958708,1.54,0.47,0.01,x,a
3,-0.5,8.19072840646922,1.54,0.47,0.01,x,a
3,0.0,4.93922725013457,1.54,0.47,0.01,x,a
3,3.0,24.7405145849524,1.54,0.47,0.01,x,a
3,4.0,24.4082944906523,1.54,0.47,0.01,x,a
3,5.0,31.7120507431763,1.54,0.47,0.01,x,a
3,7.5,12.4273152216074,1.54,0.47,0.01,x,a
3,8.0,10.1581054579512,1.54,0.47,0.01,x,a
3,9.0,8.72812328283196,1.54,0.47,0.01,x,a
3,9.5,4.51506656735362,1.54,0.47,0.01,x,a
4,-8.5,7.81970497103473,1.54,0.47,0.01,x,a
4,-8.0,7.57594639886295,1.54,0.47,0.01,x,a
4,-7.5,6.97422414610906,1.54,0.47,0.01,x,a
4,-7.0,6.49494428901711,1.54,0.47,0.01,x,a
4,-5.5,6.81883617809411,1.54,0.47,0.01,x,a
4,-4.5,8.5852591310109,1.54,0.47,0.01,x,a
4,-3.5,17.1963551787142,1.54,0.47,0.01,x,a
4,-1.5,14.1014414094541,1.54,0.47,0.01,x,a
4,-0.5,9.92890104211072,1.54,0.47,0.01,x,a
4,0.0,5.89320950072437,1.54,0.47,0.01,x,a
4,0.5,1.62825405212145,1.54,0.47,0.01,x,a
4,1.5,1.85191218286995,1.54,0.47,0.01,x,a
4,2.0,9.17201652725189,1.54,0.47,0.01,x,a
4,3.5,22.217356665998,1.54,0.47,0.01,x,a
4,5.0,30.1676914508703,1.54,0.47,0.01,x,a
4,6.5,23.8613857747317,1.54,0.47,0.01,x,a
4,7.0,17.9952498146613,1.54,0.47,0.01,x,a
4,7.5,14.9663018639415,1.54,0.47,0.01,x,a
4,8.0,13.3974348099108,1.54,0.47,0.01,x,a
