Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-9.0,-16.7217865696702,1.81,0.56,0.19,x,a
1,-8.5,-15.0914970215452,1.81,0.56,0.19,x,a
1,-8.0,-13.5366135522074,1.81,0.56,0.19,x,a
1,-5.0,-19.1225467435623,1.81,0.56,0.19,x,a
1,-2.5,5.3539094505931,1.81,0.56,0.19,x,a
1,-1.5,-1.96662830940396,1.81,0.56,0.19,x,a
1,-1.0,-3.28664180398021,1.81,0.56,0.19,x,a
1,-0.5,-4.96831727470169,1.81,0.56,0.19,x,a
1,1.5,-8.44309531937142,1.81,0.56,0.19,x,a
1,2.0,-1.83222021187442,1.81,0.56,0.19,x,a
1,4.0,18.3079838400671,1.81,0.56,0.19,x,a
1,5.5,16.743010199604,1.81,0.56,0.19,x,a
1,6.5,21.1347877796826,1.81,0.56,0.19,x,a
1,7.0,26.1582442584106,1.81,0.56,0.19,x,a
1,10.0,44.6121404600908,1.81,0.56,0.19,x,a
2,-9.0,-16.951460675399,1.15,0.49,0.1,x,a
2,-8.5,-18.8560857664856,1.15,0.49,0.1,x,a
2,-8.0,-19.8851117889931,1.15,0.49,0.1,x,a
2,-5.0,-20.5934415084301,1.15,0.49,0.1,x,a
2,-2.5,5.51679172730968,1.15,0.49,0.1,x,a
2,-1.5,1.70670908966202,1.15,0.49,0.1,x,a
2,-1.0,-0.18534608710367,1.15,0.49,0.1,x,a
2,-0.5,-2.81399447839381,1.15,0.49,0.1,x,a
2,1.5,-6.765597552992,1.15,0.49,0.1,x,a
2,2.0,0.47157592459433,1.15,0.49,0.1,x,a
2,4.0,21.5566137855259,1.15,0.49,0.1,x,a
2,5.5,15.1198644311351,1.15,0.49,0.1,x,a
2,6.5,20.0420332226758,1.15,0.49,0.1,x,a
2,7.0,25.4121770409503,1.15,0.49,0.1,x,a
2,10.0,45.7226894838506,1.15,0.49,0.1,x,a
3,-9.0,-19.2978440883018,1.28,0.95,0.14,x,a
3,-8.5,-19.1086745896164,1.28,0.95,0.14,x,a
3,-8.0,-19.1244149265678,1.28,0.95,0.14,x,a
