Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-10.0,35.0374551980145,1.78,0.14,0.14,x,a
1,-8.5,24.7317815196466,1.78,0.14,0.14,x,a
1,-8.0,23.2574051778546,1.78,0.14,0.14,x,a
1,-7.0,27.5524285907878,1.78,0.14,0.14,x,a
1,-3.0,7.12690134739511,1.78,0.14,0.14,x,a
1,-2.5,5.53595679385961,1.78,0.14,0.14,x,a
1,-1.5,7.28499979212695,1.78,0.14,0.14,x,a
1,-1.0,3.40844586258575,1.78,0.14,0.14,x,a
1,2.5,-8.73649468789157,1.78,0.14,0.14,x,a
1,3.5,-14.8481110524954,1.78,0.14,0.14,x,a
1,4.0,-16.3337836014098,1.78,0.14,0.14,x,a
1,5.0,-21.3685946382759,1.78,0.14,0.14,x,a
1,7.5,-28.7571896216873,1.78,0.14,0.14,x,a
1,9.0,-51.7674728893893,1.78,0.14,0.14,x,a
1,9.5,-50.4777876336146,1.78,0.14,0.14,x,a
2,-10.0,33.4718514856387,1.78,0.14,0.14,x,a
2,-8.5,20.00299903833,1.78,0.14,0.14,x,a
2,-8.0,17.4376727957494,1.78,0.14,0.14,x,a
2,-7.0,23.4423532931113,1.78,0.14,0.14,x,a
2,-3.0,5.47167464370373,1.78,0.14,0.14,x,a
2,-2.5,4.75780420827145,1.78,0.14,0.14,x,a
2,-1.5,6.74254326122739,1.78,0.14,0.14,x,a
2,-1.0,2.09198537726341,1.78,0.14,0.14,x,a
2,2.5,-6.77465302180317,1.78,0.14,0.14,x,a
2,3.5,-12.6766514507933,1.78,0.14,0.14,x,a
2,4.0,-14.9282848997557,1.78,0.14,0.14,x,a
2,5.0,-22.0181327726378,1.78,0.14,0.14,x,a
2,7.5,-35.2642454414432,1.78,0.14,0.14,x,a
2,9.0,-55.2500490647592,1.78,0.14,0.14,x,a
2,9.5,-53.0959972258504,1.78,0.14,0.14,x,a
3,-10.0,31.9771568499909,1.78,0.14,0.14,x,a
3,-8.5,20.6464741150965,1.78,0.14,0.14,x,a
3,-8.0,21.0271969802918,1.78,0.14,0.14,x,a
3,-7.0,28.1344407399652,1.78,0.14,0.14,x,a
3,-3.0,9.52139368753711,1.78,0.14,0.14,x,a
