Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-298.5,-975.510793305661,1.56,0.63,0.03,1,1,x,a
-298.0,-971.809481274262,1.56,0.63,0.03,1,1,x,a
-297.5,-967.853082013784,1.56,0.63,0.03,1,1,x,a
-297.0,-965.462471687033,1.56,0.63,0.03,1,1,x,a
-296.5,-966.794602732493,1.56,0.63,0.03,1,1,x,a
-296.0,-969.819172206759,1.56,0.63,0.03,1,1,x,a
-295.5,-973.502652871765,1.56,0.63,0.03,1,1,x,a
-294.5,-975.833738932714,1.56,0.63,0.03,1,1,x,a
-293.5,-974.573696355032,1.56,0.63,0.03,1,1,x,a
-292.5,-971.851762022134,1.56,0.63,0.03,1,1,x,a
-291.0,-957.939656314273,1.56,0.63,0.03,1,1,x,a
-289.5,-953.978677627645,1.56,0.63,0.03,1,1,x,a
-289.0,-953.928707329004,1.56,0.63,0.03,1,1,x,a
-287.5,-940.380485648602,1.56,0.63,0.03,1,1,x,a
-286.0,-926.396123596178,1.56,0.63,0.03,1,1,x,a
-285.0,-928.390182336833,1.56,0.63,0.03,1,1,x,a
-283.0,-934.437551114307,1.56,0.63,0.03,1,1,x,a
-282.5,-932.735473011282,1.56,0.63,0.03,1,1,x,a
-281.0,-916.576228516866,1.56,0.63,0.03,1,1,x,a
-280.5,-913.938308840751,1.56,0.63,0.03,1,1,x,a
-274.0,-912.049434314933,1.56,0.63,0.03,1,1,x,a
-273.5,-905.055557494336,1.56,0.63,0.03,1,1,x,a
-272.5,-887.317595330614,1.56,0.63,0.03,1,1,x,a
-271.5,-878.862953757817,1.56,0.63,0.03,1,1,x,a
-271.0,-877.220480699807,1.56,0.63,0.03,1,1,x,a
-270.0,-867.246119094116,1.56,0.63,0.03,1,1,x,a
-268.0,-861.721325534318,1.56,0.63,0.03,1,1,x,a
-267.5,-860.905122282251,1.56,0.63,0.03,1,1,x,a
-266.5,-860.086314428754,1.56,0.63,0.03,1,1,x,a
-266.0,-858.957421493462,1.56,0.63,0.03,1,1,x,a
-265.0,-861.834000281814,1.56,0.63,0.03,1,1,x,a
-264.5,-865.17125462221,1.56,0.63,0.03,1,1,x,a
-262.5,-863.329042116197,1.56,0.63,0.03,1,1,x,a
-262.0,-854.28429351412,1.56,0.63,0.03,1,1,x,a
-261.5,-845.614084694693,1.56,0.63,0.03,1,1,x,a
-259.5,-849.505277171756,1.56,0.63,0.03,1,1,x,a
-259.0,-851.846153270723,1.56,0.63,0.03,1,1,x,a
-258.0,-850.90742251966,1.56,0.63,0.03,1,1,x,a
-257.0,-841.327104524153,1.56,0.63,0.03,1,1,x,a
-255.0,-835.586418911651,1.56,0.63,0.03,1,1,x,a
-254.5,-836.13927168007,1.56,0.63,0.03,1,1,x,a
-254.0,-833.667206843723,1.56,0.63,0.03,1,1,x,a
-253.5,-829.063434195093,1.56,0.63,0.03,1,1,x,a
-252.0,-826.55949534595,1.56,0.63,0.03,1,1,x,a
-250.0,-822.377722956217,1.56,0.63,0.03,1,1,x,a
-247.5,-819.235545857451,1.56,0.63,0.03,1,1,x,a
-245.0,-796.885577708798,1.56,0.63,0.03,1,1,x,a
-244.0,-791.907374577531,1.56,0.63,0.03,1,1,x,a
-243.5,-789.400618152548,1.56,0.63,0.03,1,1,x,a
-243.0,-788.581457116869,1.56,0.63,0.03,1,1,x,a
-242.5,-790.149624070761,1.56,0.63,0.03,1,1,x,a
-237.5,-770.31948471961,1.56,0.63,0.03,1,1,x,a
-235.5,-769.10142685426,1.56,0.63,0.03,1,1,x,a
-235.0,-759.445759917447,1.56,0.63,0.03,1,1,x,a
-234.5,-752.66434782524,1.56,0.63,0.03,1,1,x,a
-233.0,-746.480545903944,1.56,0.63,0.03,1,1,x,a
-232.5,-745.538849999816,1.56,0.63,0.03,1,1,x,a
-232.0,-745.270239926932,1.56,0.63,0.03,1,1,x,a
-231.0,-748.250965439864,1.56,0.63,0.03,1,1,x,a
-229.5,-749.653244935706,1.56,0.63,0.03,1,1,x,a
-228.0,-748.565102812022,1.56,0.63,0.03,1,1,x,a
-223.0,-732.297739237656,1.56,0.63,0.03,1,1,x,a
-222.5,-737.31293805918,1.56,0.63,0.03,1,1,x,a
-222.0,-739.066461907603,1.56,0.63,0.03,1,1,x,a
-220.0,-720.075287704849,1.56,0.63,0.03,1,1,x,a
-219.5,-720.62511907331,1.56,0.63,0.03,1,1,x,a
-218.0,-724.953361492909,1.56,0.63,0.03,1,1,x,a
-216.5,-714.697478271293,1.56,0.63,0.03,1,1,x,a
-213.5,-707.641331646178,1.56,0.63,0.03,1,1,x,a
-213.0,-702.762254074142,1.56,0.63,0.03,1,1,x,a
-211.5,-682.975196387112,1.56,0.63,0.03,1,1,x,a
-210.0,-704.633523013237,1.56,0.63,0.03,1,1,x,a
-208.0,-684.695615804159,1.56,0.63,0.03,1,1,x,a
-207.5,-682.321226942699,1.56,0.63,0.03,1,1,x,a
-206.5,-676.514794290711,1.56,0.63,0.03,1,1,x,a
-206.0,-672.705277982338,1.56,0.63,0.03,1,1,x,a
-205.5,-670.458681003834,1.56,0.63,0.03,1,1,x,a
-205.0,-670.065192103018,1.56,0.63,0.03,1,1,x,a
-199.0,-644.216212832464,1.56,0.63,0.03,1,1,x,a
-198.5,-640.243522719617,1.56,0.63,0.03,1,1,x,a
-198.0,-638.322815680262,1.56,0.63,0.03,1,1,x,a
-196.5,-637.663868415427,1.56,0.63,0.03,1,1,x,a
-194.0,-621.772592095722,1.56,0.63,0.03,1,1,x,a
-192.0,-627.900012210762,1.56,0.63,0.03,1,1,x,a
-189.0,-622.17769526053,1.56,0.63,0.03,1,1,x,a
-188.0,-609.609061154141,1.56,0.63,0.03,1,1,x,a
-187.0,-602.375403039289,1.56,0.63,0.03,1,1,x,a
-186.5,-599.194815239353,1.56,0.63,0.03,1,1,x,a
-185.0,-599.122925430555,1.56,0.63,0.03,1,1,x,a
-184.0,-596.946838434289,1.56,0.63,0.03,1,1,x,a
-183.5,-594.731794490291,1.56,0.63,0.03,1,1,x,a
-183.0,-592.003398739105,1.56,0.63,0.03,1,1,x,a
-178.5,-579.199868979511,1.56,0.63,0.03,1,1,x,a
-178.0,-570.616926614311,1.56,0.63,0.03,1,1,x,a
-176.5,-557.747314630382,1.56,0.63,0.03,1,1,x,a
-175.5,-558.98804317008,1.56,0.63,0.03,1,1,x,a
