Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-300.0,-1312.56729843829,1.49,0.03,0.15,1,1,x,a
-299.5,-1312.67665142181,1.49,0.03,0.15,1,1,x,a
-299.0,-1311.92776069731,1.49,0.03,0.15,1,1,x,a
-298.0,-1304.86730291465,1.49,0.03,0.15,1,1,x,a
-297.0,-1292.17777944827,1.49,0.03,0.15,1,1,x,a
-295.0,-1271.05728097288,1.49,0.03,0.15,1,1,x,a
-294.0,-1264.13912194844,1.49,0.03,0.15,1,1,x,a
-292.5,-1265.31357503413,1.49,0.03,0.15,1,1,x,a
-292.0,-1263.02350070086,1.49,0.03,0.15,1,1,x,a
-291.5,-1263.18340587034,1.49,0.03,0.15,1,1,x,a
-291.0,-1265.51456230166,1.49,0.03,0.15,1,1,x,a
-289.5,-1257.02858841266,1.49,0.03,0.15,1,1,x,a
-288.0,-1248.81254833553,1.49,0.03,0.15,1,1,x,a
-287.5,-1246.44859438031,1.49,0.03,0.15,1,1,x,a
-286.5,-1241.08514508711,1.49,0.03,0.15,1,1,x,a
-284.0,-1224.83048461973,1.49,0.03,0.15,1,1,x,a
-283.0,-1222.12084963757,1.49,0.03,0.15,1,1,x,a
-282.0,-1220.09618209168,1.49,0.03,0.15,1,1,x,a
-281.0,-1228.71403980952,1.49,0.03,0.15,1,1,x,a
-280.5,-1231.28159901451,1.49,0.03,0.15,1,1,x,a
-279.0,-1234.02691436365,1.49,0.03,0.15,1,1,x,a
-275.0,-1182.44858128939,1.49,0.03,0.15,1,1,x,a
-274.5,-1179.66207737221,1.49,0.03,0.15,1,1,x,a
-274.0,-1181.73333103005,1.49,0.03,0.15,1,1,x,a
-268.5,-1153.87568153054,1.49,0.03,0.15,1,1,x,a
-267.5,-1159.03533008484,1.49,0.03,0.15,1,1,x,a
-266.0,-1157.50000510613,1.49,0.03,0.15,1,1,x,a
-264.5,-1145.94224831197,1.49,0.03,0.15,1,1,x,a
-264.0,-1142.09479922393,1.49,0.03,0.15,1,1,x,a
-263.5,-1141.27446538978,1.49,0.03,0.15,1,1,x,a
-262.0,-1141.89279967399,1.49,0.03,0.15,1,1,x,a
-261.0,-1129.54222893708,1.49,0.03,0.15,1,1,x,a
-260.5,-1125.93727284994,1.49,0.03,0.15,1,1,x,a
-259.5,-1126.089219006,1.49,0.03,0.15,1,1,x,a
-258.0,-1123.6433618504,1.49,0.03,0.15,1,1,x,a
-257.5,-1124.11099652479,1.49,0.03,0.15,1,1,x,a
-255.5,-1115.29151635774,1.49,0.03,0.15,1,1,x,a
-254.0,-1103.87651149815,1.49,0.03,0.15,1,1,x,a
-253.0,-1108.49081560315,1.49,0.03,0.15,1,1,x,a
-252.5,-1105.74899613438,1.49,0.03,0.15,1,1,x,a
-250.5,-1100.36338270457,1.49,0.03,0.15,1,1,x,a
-246.5,-1076.63763636976,1.49,0.03,0.15,1,1,x,a
-245.5,-1073.43276038346,1.49,0.03,0.15,1,1,x,a
-244.5,-1064.50666550934,1.49,0.03,0.15,1,1,x,a
-242.0,-1044.90500923551,1.49,0.03,0.15,1,1,x,a
-240.0,-1037.79929477373,1.49,0.03,0.15,1,1,x,a
-239.5,-1040.88954296496,1.49,0.03,0.15,1,1,x,a
-238.5,-1039.16129698493,1.49,0.03,0.15,1,1,x,a
-238.0,-1032.85795185079,1.49,0.03,0.15,1,1,x,a
-236.0,-1027.38623608806,1.49,0.03,0.15,1,1,x,a
-233.5,-1017.70623544663,1.49,0.03,0.15,1,1,x,a
-233.0,-1019.12612480951,1.49,0.03,0.15,1,1,x,a
-232.0,-1010.59617657649,1.49,0.03,0.15,1,1,x,a
-226.0,-983.350924642616,1.49,0.03,0.15,1,1,x,a
-225.0,-987.555052251721,1.49,0.03,0.15,1,1,x,a
-222.5,-964.270519516613,1.49,0.03,0.15,1,1,x,a
-221.0,-955.191059708081,1.49,0.03,0.15,1,1,x,a
-220.5,-957.802993184687,1.49,0.03,0.15,1,1,x,a
-218.5,-963.678691938361,1.49,0.03,0.15,1,1,x,a
-218.0,-956.590659786968,1.49,0.03,0.15,1,1,x,a
-215.0,-928.232797177236,1.49,0.03,0.15,1,1,x,a
-213.0,-925.565079971991,1.49,0.03,0.15,1,1,x,a
-211.0,-936.783341926015,1.49,0.03,0.15,1,1,x,a
-209.5,-917.523380885313,1.49,0.03,0.15,1,1,x,a
-208.5,-913.134237491776,1.49,0.03,0.15,1,1,x,a
-208.0,-912.908048163128,1.49,0.03,0.15,1,1,x,a
-207.5,-910.878598488407,1.49,0.03,0.15,1,1,x,a
-207.0,-910.371146285244,1.49,0.03,0.15,1,1,x,a
-206.0,-902.511960830258,1.49,0.03,0.15,1,1,x,a
-205.0,-886.609259239132,1.49,0.03,0.15,1,1,x,a
-204.5,-884.481940684203,1.49,0.03,0.15,1,1,x,a
-204.0,-883.278280067323,1.49,0.03,0.15,1,1,x,a
-203.0,-884.715311337123,1.49,0.03,0.15,1,1,x,a
-202.5,-887.610627817111,1.49,0.03,0.15,1,1,x,a
-202.0,-888.816267847682,1.49,0.03,0.15,1,1,x,a
-201.5,-886.662790032614,1.49,0.03,0.15,1,1,x,a
-198.5,-864.078408758437,1.49,0.03,0.15,1,1,x,a
-197.5,-850.926948656474,1.49,0.03,0.15,1,1,x,a
-196.5,-844.478271329783,1.49,0.03,0.15,1,1,x,a
-196.0,-842.86630540534,1.49,0.03,0.15,1,1,x,a
-195.5,-843.065341772771,1.49,0.03,0.15,1,1,x,a
-195.0,-846.538087934648,1.49,0.03,0.15,1,1,x,a
-191.5,-840.864686548497,1.49,0.03,0.15,1,1,x,a
-190.5,-838.36859005097,1.49,0.03,0.15,1,1,x,a
-189.0,-827.366309899474,1.49,0.03,0.15,1,1,x,a
-185.5,-802.82002963974,1.49,0.03,0.15,1,1,x,a
-184.5,-801.01094437094,1.49,0.03,0.15,1,1,x,a
-184.0,-797.350684569351,1.49,0.03,0.15,1,1,x,a
-182.0,-784.951703318327,1.49,0.03,0.15,1,1,x,a
-181.0,-781.296783351121,1.49,0.03,0.15,1,1,x,a
-180.0,-785.385301385586,1.49,0.03,0.15,1,1,x,a
-179.5,-789.496171614688,1.49,0.03,0.15,1,1,x,a
-178.5,-790.02800960254,1.49,0.03,0.15,1,1,x,a
-177.5,-774.327347010726,1.49,0.03,0.15,1,1,x,a
-175.5,-779.52131310867,1.49,0.03,0.15,1,1,x,a
-173.5,-764.145745910226,1.49,0.03,0.15,1,1,x,a
-173.0,-763.654050532155,1.49,0.03,0.15,1,1,x,a
-172.5,-761.474587933385,1.49,0.03,0.15,1,1,x,a
-172.0,-758.955726636429,1.49,0.03,0.15,1,1,x,a
-171.5,-756.106308602502,1.49,0.03,0.15,1,1,x,a
-170.5,-759.444997504293,1.49,0.03,0.15,1,1,x,a
-170.0,-758.1833120207,1.49,0.03,0.15,1,1,x,a
-166.0,-737.240783961149,1.49,0.03,0.15,1,1,x,a
-165.5,-741.741833003046,1.49,0.03,0.15,1,1,x,a
-164.0,-725.085670192042,1.49,0.03,0.15,1,1,x,a
