Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-298.5,894.465276100172,1.83,0.9,0.17,1,1,x,a
-297.0,875.775509770304,1.83,0.9,0.17,1,1,x,a
-296.5,866.509499145333,1.83,0.9,0.17,1,1,x,a
-295.5,855.934239626668,1.83,0.9,0.17,1,1,x,a
-293.0,849.895008244825,1.83,0.9,0.17,1,1,x,a
-290.5,855.620165237012,1.83,0.9,0.17,1,1,x,a
-288.0,822.426332400606,1.83,0.9,0.17,1,1,x,a
-283.5,851.695971101879,1.83,0.9,0.17,1,1,x,a
-282.0,827.538023379988,1.83,0.9,0.17,1,1,x,a
-279.5,823.444725353452,1.83,0.9,0.17,1,1,x,a
-279.0,827.330365294172,1.83,0.9,0.17,1,1,x,a
-278.5,828.359459104583,1.83,0.9,0.17,1,1,x,a
-278.0,825.300349800106,1.83,0.9,0.17,1,1,x,a
-277.0,812.644965629038,1.83,0.9,0.17,1,1,x,a
-276.0,806.916293338313,1.83,0.9,0.17,1,1,x,a
-274.5,810.139881124727,1.83,0.9,0.17,1,1,x,a
-272.5,792.573693429464,1.83,0.9,0.17,1,1,x,a
-270.5,788.68959230446,1.83,0.9,0.17,1,1,x,a
-270.0,787.095489645026,1.83,0.9,0.17,1,1,x,a
-268.5,789.073894563959,1.83,0.9,0.17,1,1,x,a
-268.0,791.073110911287,1.83,0.9,0.17,1,1,x,a
-266.0,777.627831979056,1.83,0.9,0.17,1,1,x,a
-264.5,766.598676157635,1.83,0.9,0.17,1,1,x,a
-263.0,781.563658928361,1.83,0.9,0.17,1,1,x,a
-262.5,783.734811390094,1.83,0.9,0.17,1,1,x,a
-257.0,760.140666474344,1.83,0.9,0.17,1,1,x,a
-256.0,754.772427521926,1.83,0.9,0.17,1,1,x,a
-255.0,740.017378374862,1.83,0.9,0.17,1,1,x,a
-252.5,738.824600628656,1.83,0.9,0.17,1,1,x,a
-252.0,743.46938806054,1.83,0.9,0.17,1,1,x,a
-251.0,741.166478412537,1.83,0.9,0.17,1,1,x,a
-250.5,735.777882018641,1.83,0.9,0.17,1,1,x,a
-249.0,722.933122028679,1.83,0.9,0.17,1,1,x,a
-248.5,723.488662454142,1.83,0.9,0.17,1,1,x,a
-248.0,722.736680771452,1.83,0.9,0.17,1,1,x,a
-246.5,718.543158627714,1.83,0.9,0.17,1,1,x,a
-246.0,715.861829951774,1.83,0.9,0.17,1,1,x,a
-245.5,713.865206532048,1.83,0.9,0.17,1,1,x,a
-245.0,713.598280371297,1.83,0.9,0.17,1,1,x,a
-243.5,717.045041610908,1.83,0.9,0.17,1,1,x,a
-243.0,720.666971349217,1.83,0.9,0.17,1,1,x,a
-242.0,730.5411221062,1.83,0.9,0.17,1,1,x,a
-241.0,737.872292129514,1.83,0.9,0.17,1,1,x,a
-238.5,726.434353774027,1.83,0.9,0.17,1,1,x,a
-238.0,723.922540821248,1.83,0.9,0.17,1,1,x,a
-237.5,722.600482333941,1.83,0.9,0.17,1,1,x,a
-236.5,717.877290590783,1.83,0.9,0.17,1,1,x,a
-234.5,694.378944659249,1.83,0.9,0.17,1,1,x,a
-234.0,686.355347308802,1.83,0.9,0.17,1,1,x,a
-233.5,678.498601051776,1.83,0.9,0.17,1,1,x,a
-231.5,662.447534863039,1.83,0.9,0.17,1,1,x,a
-231.0,661.740960320439,1.83,0.9,0.17,1,1,x,a
-229.5,672.585076919717,1.83,0.9,0.17,1,1,x,a
-225.0,663.464941769159,1.83,0.9,0.17,1,1,x,a
-224.5,665.501388834385,1.83,0.9,0.17,1,1,x,a
-220.0,665.127330155877,1.83,0.9,0.17,1,1,x,a
-219.5,663.76957219437,1.83,0.9,0.17,1,1,x,a
-217.5,652.158361793595,1.83,0.9,0.17,1,1,x,a
-217.0,647.682427087082,1.83,0.9,0.17,1,1,x,a
-216.0,644.223255932077,1.83,0.9,0.17,1,1,x,a
-215.0,642.592789472874,1.83,0.9,0.17,1,1,x,a
-213.0,649.725851992294,1.83,0.9,0.17,1,1,x,a
-212.0,644.490071911441,1.83,0.9,0.17,1,1,x,a
-211.0,630.221518567234,1.83,0.9,0.17,1,1,x,a
-210.5,623.023554225968,1.83,0.9,0.17,1,1,x,a
-209.5,613.00461476559,1.83,0.9,0.17,1,1,x,a
-209.0,609.332546459044,1.83,0.9,0.17,1,1,x,a
-207.5,608.743638041088,1.83,0.9,0.17,1,1,x,a
-203.0,605.331449535348,1.83,0.9,0.17,1,1,x,a
-202.0,598.580069816185,1.83,0.9,0.17,1,1,x,a
-199.0,598.25815640029,1.83,0.9,0.17,1,1,x,a
-197.5,575.809526921491,1.83,0.9,0.17,1,1,x,a
-195.0,561.350459409323,1.83,0.9,0.17,1,1,x,a
-192.5,563.035445493335,1.83,0.9,0.17,1,1,x,a
-191.5,556.143119118826,1.83,0.9,0.17,1,1,x,a
-190.5,555.506161499458,1.83,0.9,0.17,1,1,x,a
-190.0,556.282002949655,1.83,0.9,0.17,1,1,x,a
-189.5,557.649339469121,1.83,0.9,0.17,1,1,x,a
-186.5,565.05279777812,1.83,0.9,0.17,1,1,x,a
-185.5,568.884455841285,1.83,0.9,0.17,1,1,x,a
-185.0,564.62338664467,1.83,0.9,0.17,1,1,x,a
-179.5,519.523671580389,1.83,0.9,0.17,1,1,x,a
-177.5,518.135486420059,1.83,0.9,0.17,1,1,x,a
-175.5,543.462587652094,1.83,0.9,0.17,1,1,x,a
-175.0,542.349194054253,1.83,0.9,0.17,1,1,x,a
-174.0,538.081170671518,1.83,0.9,0.17,1,1,x,a
-173.5,536.986953610193,1.83,0.9,0.17,1,1,x,a
