Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-298.5,-1167.39188639341,1.48,0.74,0.13,1,1,x,a
-297.5,-1163.69711439166,1.48,0.74,0.13,1,1,x,a
-297.0,-1158.72639477404,1.48,0.74,0.13,1,1,x,a
-294.5,-1165.80278895514,1.48,0.74,0.13,1,1,x,a
-294.0,-1170.90908371766,1.48,0.74,0.13,1,1,x,a
-290.0,-1148.67734283216,1.48,0.74,0.13,1,1,x,a
-289.5,-1149.5243857755,1.48,0.74,0.13,1,1,x,a
-288.0,-1134.71083572044,1.48,0.74,0.13,1,1,x,a
-286.0,-1122.59369301777,1.48,0.74,0.13,1,1,x,a
-282.0,-1113.62900885737,1.48,0.74,0.13,1,1,x,a
-281.5,-1113.77225147971,1.48,0.74,0.13,1,1,x,a
-278.5,-1086.34802274999,1.48,0.74,0.13,1,1,x,a
-278.0,-1078.3394715891,1.48,0.74,0.13,1,1,x,a
-276.0,-1073.14361552397,1.48,0.74,0.13,1,1,x,a
-275.5,-1073.10678573135,1.48,0.74,0.13,1,1,x,a
-275.0,-1069.6792250227,1.48,0.74,0.13,1,1,x,a
-273.5,-1065.50486705149,1.48,0.74,0.13,1,1,x,a
-273.0,-1064.37032776551,1.48,0.74,0.13,1,1,x,a
-271.5,-1070.19661668942,1.48,0.74,0.13,1,1,x,a
-270.0,-1064.35306584336,1.48,0.74,0.13,1,1,x,a
-268.5,-1060.28009640402,1.48,0.74,0.13,1,1,x,a
-267.5,-1057.63250364384,1.48,0.74,0.13,1,1,x,a
-266.5,-1051.09386783357,1.48,0.74,0.13,1,1,x,a
-262.5,-1021.7458696859,1.48,0.74,0.13,1,1,x,a
-261.0,-1024.05048573393,1.48,0.74,0.13,1,1,x,a
-259.0,-1015.02307236563,1.48,0.74,0.13,1,1,x,a
-257.5,-1013.87423939541,1.48,0.74,0.13,1,1,x,a
-256.5,-1015.5260101543,1.48,0.74,0.13,1,1,x,a
-256.0,-1013.08089060035,1.48,0.74,0.13,1,1,x,a
-255.5,-1010.27689299397,1.48,0.74,0.13,1,1,x,a
-253.0,-994.180390886767,1.48,0.74,0.13,1,1,x,a
-252.5,-995.537412560572,1.48,0.74,0.13,1,1,x,a
-252.0,-995.599067035794,1.48,0.74,0.13,1,1,x,a
-250.5,-990.251386712777,1.48,0.74,0.13,1,1,x,a
-248.5,-978.686559121355,1.48,0.74,0.13,1,1,x,a
-247.0,-968.777814469963,1.48,0.74,0.13,1,1,x,a
-246.5,-965.966077579482,1.48,0.74,0.13,1,1,x,a
-246.0,-963.749231640094,1.48,0.74,0.13,1,1,x,a
-243.0,-945.482528193184,1.48,0.74,0.13,1,1,x,a
-242.0,-943.968196449325,1.48,0.74,0.13,1,1,x,a
-241.5,-943.739339347259,1.48,0.74,0.13,1,1,x,a
-239.0,-927.882107561241,1.48,0.74,0.13,1,1,x,a
-238.0,-931.445021916229,1.48,0.74,0.13,1,1,x,a
-237.5,-932.385213356591,1.48,0.74,0.13,1,1,x,a
-237.0,-930.209388812196,1.48,0.74,0.13,1,1,x,a
