"ID","Input","Output","se_variance","se_lengthscale","noise"
"1",-100,-149.179335370178,1.96,0.17,0
"1",-99.5,-142.629883508683,1.96,0.17,0
"1",-99,-139.906645864871,1.96,0.17,0
"1",-98,-146.979545914059,1.96,0.17,0
"1",-97,-157.689002237771,1.96,0.17,0
"1",-96.5,-163.535195400965,1.96,0.17,0
"1",-93.5,-142.32489700156,1.96,0.17,0
"1",-92.5,-142.106404800979,1.96,0.17,0
"1",-91.5,-160.196902126744,1.96,0.17,0
"1",-90.5,-164.221430844339,1.96,0.17,0
"1",-90,-161.115192948583,1.96,0.17,0
"1",-89.5,-155.261308318441,1.96,0.17,0
"1",-89,-147.521844102183,1.96,0.17,0
"1",-87,-136.45749075337,1.96,0.17,0
"1",-86,-139.928112611018,1.96,0.17,0
"1",-84,-133.533420368904,1.96,0.17,0
"1",-83,-135.433464866043,1.96,0.17,0
"1",-82,-132.267930447363,1.96,0.17,0
"1",-81.5,-130.733700047702,1.96,0.17,0
"1",-81,-129.354595699301,1.96,0.17,0
"1",-80.5,-126.64539157996,1.96,0.17,0
"1",-78.5,-125.648032568606,1.96,0.17,0
"1",-76,-143.580357121168,1.96,0.17,0
"1",-75,-136.357963597582,1.96,0.17,0
"1",-74.5,-138.682521332726,1.96,0.17,0
"1",-73,-128.368126271899,1.96,0.17,0
"1",-72.5,-120.430511415014,1.96,0.17,0
"1",-71,-116.494427397983,1.96,0.17,0
"1",-69.5,-117.222498892723,1.96,0.17,0
"1",-69,-117.777673189636,1.96,0.17,0
"1",-67.5,-121.941454298556,1.96,0.17,0
"1",-66,-105.824123515778,1.96,0.17,0
"1",-65.5,-101.505353441584,1.96,0.17,0
"1",-65,-97.3035244409418,1.96,0.17,0
"1",-64.5,-93.67574630809,1.96,0.17,0
"1",-62.5,-109.836621327792,1.96,0.17,0
"1",-61.5,-118.767974335066,1.96,0.17,0
"1",-61,-121.210874154015,1.96,0.17,0
"1",-59,-126.275132468384,1.96,0.17,0
"1",-56.5,-111.314675843953,1.96,0.17,0
"1",-54,-100.084688128078,1.96,0.17,0
"1",-53.5,-101.414379231347,1.96,0.17,0
"1",-53,-103.425078139539,1.96,0.17,0
"1",-51.5,-106.268809476408,1.96,0.17,0
"1",-51,-101.74517096321,1.96,0.17,0
"1",-50.5,-96.5010697775371,1.96,0.17,0
"1",-50,-95.8194828279942,1.96,0.17,0
"1",-49.5,-101.02832194136,1.96,0.17,0
"1",-49,-108.791070589962,1.96,0.17,0
"1",-48.5,-114.71583639301,1.96,0.17,0
"1",-48,-116.18066170278,1.96,0.17,0
"1",-46,-88.5420814362283,1.96,0.17,0
"1",-45,-72.3514394382894,1.96,0.17,0
"1",-44,-75.6566154045184,1.96,0.17,0
"1",-42.5,-83.2311825029128,1.96,0.17,0
"1",-42,-80.1016748691416,1.96,0.17,0
"1",-41.5,-77.3460047522515,1.96,0.17,0
"1",-41,-78.3905280315337,1.96,0.17,0
"1",-40,-93.0917253308011,1.96,0.17,0
"1",-38,-83.8340127661602,1.96,0.17,0
"1",-36.5,-68.2945699519723,1.96,0.17,0
"1",-35.5,-65.931010227023,1.96,0.17,0
"1",-35,-63.7353716087898,1.96,0.17,0
"1",-34.5,-58.5858332316301,1.96,0.17,0
"1",-34,-51.6312206956025,1.96,0.17,0
"1",-33.5,-46.9534852727921,1.96,0.17,0
"1",-33,-47.8037816039966,1.96,0.17,0
"1",-32.5,-53.0839236865175,1.96,0.17,0
"1",-32,-58.5789730572971,1.96,0.17,0
"1",-29.5,-50.1030739784537,1.96,0.17,0
"1",-28,-58.8551054231031,1.96,0.17,0
"1",-27.5,-64.5863265092991,1.96,0.17,0
"1",-26,-68.7749188063013,1.96,0.17,0
"1",-25,-64.6096731718232,1.96,0.17,0
"1",-23.5,-53.9898767946695,1.96,0.17,0
"1",-22.5,-51.1632243477438,1.96,0.17,0
"1",-21.5,-56.09753121228,1.96,0.17,0
"1",-21,-58.8591324787295,1.96,0.17,0
"1",-19.5,-44.7304948993101,1.96,0.17,0
"1",-16.5,-34.4537057912939,1.96,0.17,0
"1",-15,-38.8228118500194,1.96,0.17,0
"1",-13,-52.3188769735888,1.96,0.17,0
"1",-12,-35.9597185724311,1.96,0.17,0
"1",-11.5,-29.8609169667843,1.96,0.17,0
"1",-11,-24.2227829718838,1.96,0.17,0
"1",-8,-26.0761521741131,1.96,0.17,0
"1",-7,-31.2349153396192,1.96,0.17,0
"1",-5,-37.8653710871476,1.96,0.17,0
"1",-4,-26.9425927837488,1.96,0.17,0
"1",-3.5,-23.1938842479383,1.96,0.17,0
"1",-2.5,-23.5704076264024,1.96,0.17,0
"1",-1.5,-27.806793184967,1.96,0.17,0
"1",-1,-23.0198635029497,1.96,0.17,0
"1",0.5,-2.70542557721019,1.96,0.17,0
"1",1.5,-9.87040835563487,1.96,0.17,0
"1",2.5,-9.08223904335857,1.96,0.17,0
"1",3,-4.79122683969543,1.96,0.17,0
"1",5.5,-7.05484532300088,1.96,0.17,0
"1",6,-6.66982228595829,1.96,0.17,0
"1",7.5,-10.7047482787551,1.96,0.17,0
"1",8.5,-17.4393132169255,1.96,0.17,0
"1",9,-19.5032773602877,1.96,0.17,0
"1",10,-17.6104366013787,1.96,0.17,0
"1",10.5,-16.1252491810161,1.96,0.17,0
"1",11,-14.982951900555,1.96,0.17,0
"1",11.5,-14.4428800551711,1.96,0.17,0
"1",12,-15.9865354567994,1.96,0.17,0
"1",13,-26.5875785554108,1.96,0.17,0
"1",15.5,-15.1892204982962,1.96,0.17,0
"1",16.5,-11.3672820633188,1.96,0.17,0
"1",17.5,-4.64362600947611,1.96,0.17,0
"1",18.5,4.67465380969631,1.96,0.17,0
"1",19,10.4904756403129,1.96,0.17,0
"1",19.5,15.052100857108,1.96,0.17,0
"1",20,16.5396395127096,1.96,0.17,0
"1",21.5,13.0509231316925,1.96,0.17,0
"1",24,14.7084621265144,1.96,0.17,0
"1",24.5,25.7343138584675,1.96,0.17,0
"1",25,34.4144037266303,1.96,0.17,0
"1",25.5,34.7817806110173,1.96,0.17,0
"1",26,27.9222695133184,1.96,0.17,0
"1",27,18.4585375392685,1.96,0.17,0
